family,method,n,row_qerr_gm,qerr_improvement_pct,beats_stale_qerr_frac,fresh_plan_match_frac,fresh_root_match_frac,fresh_scan_match_frac,fresh_join_match_frac,stale_fresh_changed_queries,plan_recovery_frac,new_plan_deviation_frac
all,stale,84,27.757710413965732,0.0,0.0,0.5,0.5833333333333334,0.5,0.6785714285714286,42,0.0,0.0
all,isomer,84,1.7123062360558032,93.83124108393936,0.9642857142857143,0.9404761904761905,0.9523809523809523,0.9404761904761905,0.9642857142857143,42,0.9047619047619048,0.023809523809523808
all,oasis,84,3.388800418845396,87.79149876446442,0.9285714285714286,0.9047619047619048,0.9166666666666666,0.9047619047619048,0.9285714285714286,42,0.8333333333333334,0.023809523809523808
all,oasis_projected,84,1.8055496933957158,93.4953219611107,0.9285714285714286,0.9047619047619048,0.9285714285714286,0.9047619047619048,0.9523809523809523,42,0.8333333333333334,0.023809523809523808
all,oasis_soft_projection,84,1.8059553790495841,93.49386043691501,0.9285714285714286,0.9047619047619048,0.9285714285714286,0.9047619047619048,0.9523809523809523,42,0.8333333333333334,0.023809523809523808
all,hybrid,84,1.7979019195161239,93.52287385125415,0.9285714285714286,0.9047619047619048,0.9285714285714286,0.9047619047619048,0.9523809523809523,42,0.8333333333333334,0.023809523809523808
all,aggressive_hybrid,84,1.8152345939268821,93.4604311131743,0.9285714285714286,0.9047619047619048,0.9285714285714286,0.9047619047619048,0.9523809523809523,42,0.8333333333333334,0.023809523809523808
all,calibrated_hybrid,84,1.798746088761346,93.51983264492758,0.9285714285714286,0.9047619047619048,0.9285714285714286,0.9047619047619048,0.9523809523809523,42,0.8333333333333334,0.023809523809523808
all,fresh,84,1.1640818106824304,95.80627582995194,0.9642857142857143,1.0,1.0,1.0,1.0,42,1.0,0.0
scan,stale,28,28.246110138511415,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,8,0.0,0.0
scan,isomer,28,1.6849094806438007,94.0348972924716,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,8,0.875,0.0
scan,oasis,28,3.3349200380645017,88.19334760888864,0.9285714285714286,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,8,0.875,0.0
scan,oasis_projected,28,1.7733534744644321,93.7217780934494,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,8,0.75,0.0
scan,oasis_soft_projection,28,1.773207092415044,93.72229633135427,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,8,0.75,0.0
scan,hybrid,28,1.7653951598394162,93.749952998192,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,8,0.75,0.0
scan,aggressive_hybrid,28,1.7832957876418942,93.68657921782119,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,8,0.75,0.0
scan,calibrated_hybrid,28,1.7661442098153608,93.7473011287053,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,8,0.75,0.0
scan,fresh,28,1.1446554888242322,95.94756416649534,0.9642857142857143,1.0,1.0,1.0,1.0,8,1.0,0.0
join,stale,28,28.246110138511415,0.0,0.0,0.21428571428571427,0.4642857142857143,0.21428571428571427,0.4642857142857143,22,0.0,0.0
join,isomer,28,1.6849094806438007,94.0348972924716,0.9642857142857143,0.8928571428571429,0.9285714285714286,0.8928571428571429,0.9285714285714286,22,0.9090909090909091,0.16666666666666666
join,oasis,28,3.3349200380645017,88.19334760888864,0.9285714285714286,0.8214285714285714,0.8571428571428571,0.8214285714285714,0.8571428571428571,22,0.7727272727272727,0.0
join,oasis_projected,28,1.7733534744644321,93.7217780934494,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.9285714285714286,22,0.8636363636363636,0.16666666666666666
join,oasis_soft_projection,28,1.773207092415044,93.72229633135427,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.9285714285714286,22,0.8636363636363636,0.16666666666666666
join,hybrid,28,1.7653951598394162,93.749952998192,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.9285714285714286,22,0.8636363636363636,0.16666666666666666
join,aggressive_hybrid,28,1.7832957876418942,93.68657921782119,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.9285714285714286,22,0.8636363636363636,0.16666666666666666
join,calibrated_hybrid,28,1.7661442098153608,93.7473011287053,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.9285714285714286,22,0.8636363636363636,0.16666666666666666
join,fresh,28,1.1446554888242322,95.94756416649534,0.9642857142857143,1.0,1.0,1.0,1.0,22,1.0,0.0
join_dim_filter,stale,28,26.806099509587153,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,12,0.0,0.0
join_dim_filter,isomer,28,1.76844341024612,93.40283203226325,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,12,0.9166666666666666,0.0
join_dim_filter,oasis,28,3.49918678756984,86.94630382044816,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,12,0.9166666666666666,0.0625
join_dim_filter,oasis_projected,28,1.8717063647130763,93.0176101747154,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,12,0.8333333333333334,0.0
join_dim_filter,oasis_soft_projection,28,1.8732775469038956,93.01174888859187,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,12,0.8333333333333334,0.0
join_dim_filter,hybrid,28,1.8647221309299649,93.0436648186617,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,12,0.8333333333333334,0.0
join_dim_filter,aggressive_hybrid,28,1.8808385223521855,92.98354271318172,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,12,0.8333333333333334,0.0
join_dim_filter,calibrated_hybrid,28,1.8657663844183392,93.0397692370311,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,12,0.8333333333333334,0.0
join_dim_filter,fresh,28,1.2039291210270728,95.5087493404384,0.9642857142857143,1.0,1.0,1.0,1.0,12,1.0,0.0
