family,method,n,row_qerr_gm,qerr_improvement_pct,beats_stale_qerr_frac,fresh_plan_match_frac,fresh_root_match_frac,fresh_scan_match_frac,fresh_join_match_frac,stale_fresh_changed_queries,plan_recovery_frac,new_plan_deviation_frac
all,stale,84,28.39148802826052,0.0,0.0,0.5476190476190477,0.6309523809523809,0.5476190476190477,0.7142857142857143,38,0.0,0.0
all,isomer,84,2.2446439862297054,92.09395441339527,0.9285714285714286,0.9404761904761905,0.9523809523809523,0.9404761904761905,0.9642857142857143,38,0.868421052631579,0.0
all,oasis,84,2.1334894752493616,92.48546087783171,0.9285714285714286,0.9523809523809523,0.9642857142857143,0.9523809523809523,0.9761904761904762,38,0.9736842105263158,0.06521739130434782
all,oasis_projected,84,1.8390263995462326,93.52261354630062,0.9523809523809523,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9880952380952381,38,0.9736842105263158,0.0
all,oasis_soft_projection,84,1.8738342457024586,93.4000139625043,0.9523809523809523,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9880952380952381,38,0.9736842105263158,0.0
all,hybrid,84,1.8639917666197285,93.43468096929497,0.9523809523809523,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9880952380952381,38,0.9736842105263158,0.0
all,aggressive_hybrid,84,1.8721888061908258,93.40580950062471,0.9523809523809523,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9880952380952381,38,0.9736842105263158,0.0
all,calibrated_hybrid,84,1.8481294501231018,93.49055094159382,0.9523809523809523,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9880952380952381,38,0.9736842105263158,0.0
all,fresh,84,1.3242867834526058,95.33562037278769,0.9642857142857143,1.0,1.0,1.0,1.0,38,1.0,0.0
scan,stale,28,28.590727405884007,0.0,0.0,0.75,0.75,0.75,1.0,7,0.0,0.0
scan,isomer,28,2.263160868848039,92.08428370247663,0.9285714285714286,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,7,0.8571428571428571,0.0
scan,oasis,28,2.1584328399071775,92.45058438260313,0.9285714285714286,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,7,1.0,0.047619047619047616
scan,oasis_projected,28,1.8535284426430199,93.51702943290081,0.9642857142857143,1.0,1.0,1.0,1.0,7,1.0,0.0
scan,oasis_soft_projection,28,1.8898348135509007,93.39004290893988,0.9642857142857143,1.0,1.0,1.0,1.0,7,1.0,0.0
scan,hybrid,28,1.8800030166969364,93.4244309701962,0.9642857142857143,1.0,1.0,1.0,1.0,7,1.0,0.0
scan,aggressive_hybrid,28,1.8875439111547154,93.3980556550434,0.9642857142857143,1.0,1.0,1.0,1.0,7,1.0,0.0
scan,calibrated_hybrid,28,1.8641568187713566,93.47985522611184,0.9642857142857143,1.0,1.0,1.0,1.0,7,1.0,0.0
scan,fresh,28,1.3317279005737725,95.34209857039279,0.9642857142857143,1.0,1.0,1.0,1.0,7,1.0,0.0
join,stale,28,28.590727405884007,0.0,0.0,0.2857142857142857,0.5357142857142857,0.2857142857142857,0.5357142857142857,20,0.0,0.0
join,isomer,28,2.263160868848039,92.08428370247663,0.9285714285714286,0.9285714285714286,0.9642857142857143,0.9285714285714286,0.9642857142857143,20,0.9,0.0
join,oasis,28,2.1584328399071775,92.45058438260313,0.9285714285714286,0.9285714285714286,0.9642857142857143,0.9285714285714286,0.9642857142857143,20,0.95,0.125
join,oasis_projected,28,1.8535284426430199,93.51702943290081,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,20,0.95,0.0
join,oasis_soft_projection,28,1.8898348135509007,93.39004290893988,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,20,0.95,0.0
join,hybrid,28,1.8800030166969364,93.4244309701962,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,20,0.95,0.0
join,aggressive_hybrid,28,1.8875439111547154,93.3980556550434,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,20,0.95,0.0
join,calibrated_hybrid,28,1.8641568187713566,93.47985522611184,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,20,0.95,0.0
join,fresh,28,1.3317279005737725,95.34209857039279,0.9642857142857143,1.0,1.0,1.0,1.0,20,1.0,0.0
join_dim_filter,stale,28,27.99716489859225,0.0,0.0,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,11,0.0,0.0
join_dim_filter,isomer,28,2.2080634894647755,92.11326040524982,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,11,0.8181818181818182,0.0
join_dim_filter,oasis,28,2.084464169243012,92.55473124942083,0.9285714285714286,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,11,1.0,0.058823529411764705
join_dim_filter,oasis_projected,28,1.8103618184197037,93.53376734759765,0.9285714285714286,1.0,1.0,1.0,1.0,11,1.0,0.0
join_dim_filter,oasis_soft_projection,28,1.8422383765891708,93.41991096862166,0.9285714285714286,1.0,1.0,1.0,1.0,11,1.0,0.0
join_dim_filter,hybrid,28,1.8323771897831922,93.45513305929299,0.9285714285714286,1.0,1.0,1.0,1.0,11,1.0,0.0
join_dim_filter,aggressive_hybrid,28,1.8418523198543684,93.42128988229454,0.9285714285714286,1.0,1.0,1.0,1.0,11,1.0,0.0
join_dim_filter,calibrated_hybrid,28,1.8164869212282047,93.51188976523997,0.9285714285714286,1.0,1.0,1.0,1.0,11,1.0,0.0
join_dim_filter,fresh,28,1.3095290500840608,95.32263693546375,0.9642857142857143,1.0,1.0,1.0,1.0,11,1.0,0.0
