noise_sigma,method,n,selectivity_qerr_gm,selectivity_qerr_improvement_pct,scan_regret_gm,join_regret_gm,join_regret_improvement_pct,scan_optimal_match_frac,join_optimal_match_frac,join_fresh_match_frac,risky_stale_cases,risk_resolved_frac,new_risk_loss_frac
0.0,stale,73728,2.8671303743798466,0.0,1.1828961861214249,1.187104050031295,0.0,0.7874348958333334,0.7895914713541666,0.7895914713541666,15009,0.0,0.0
0.0,isomer,73728,1.6641119485194533,41.958971821105386,1.053058230508021,1.0625334466865224,10.493654986813384,0.8959554036458334,0.8881429036458334,0.8881429036458334,15009,0.5434739156506097,0.011515299479166666
0.0,oasis,73728,1.5650725042807265,45.413277391710935,1.0383555874837187,1.0423908567457134,12.19043884836941,0.9088541666666666,0.9092203776041666,0.9092203776041666,15009,0.6606036378173096,0.014607747395833334
0.0,oasis_projected,73728,1.4014226323636643,51.121070569844996,1.0270885929790472,1.02923708889905,13.29849402232965,0.9246419270833334,0.9277750651041666,0.9277750651041666,15009,0.745152908255047,0.012980143229166666
0.0,oasis_soft_projection,73728,1.3621013549721848,52.49252119318767,1.023121047271664,1.0254386613001198,13.618468299127889,0.9293212890625,0.9322102864583334,0.9322102864583334,15009,0.7527483509894064,0.01025390625
0.0,hybrid,73728,1.4374103492512496,49.86588813345616,1.029756338565526,1.0336250859968121,12.928855228017866,0.9202067057291666,0.922119140625,0.922119140625,15009,0.7077753347991206,0.010945638020833334
0.0,aggressive_hybrid,73728,1.440590114547273,49.7549840279283,1.0301529493676536,1.034668785072497,12.84093546431583,0.9200032552083334,0.9207356770833334,0.9207356770833334,15009,0.7005796522086748,0.010986328125
0.0,calibrated_hybrid,73728,1.3750812769903724,52.0398064462695,1.024748667393174,1.0284870044555952,13.361680096325031,0.9272867838541666,0.9292805989583334,0.9292805989583334,15009,0.7399560263841695,0.010579427083333334
0.0,fresh,73728,1.0,65.12192089568659,1.0,1.0,15.761385872313593,1.0,1.0,1.0,15009,1.0,0.0
0.02,stale,73728,2.8671303743798466,0.0,1.1828961861214249,1.187104050031295,0.0,0.7874348958333334,0.7895914713541666,0.7895914713541666,15009,0.0,0.0
0.02,isomer,73728,1.6765140364119862,41.526410818530984,1.0548225538273184,1.0631650262014365,10.440451603765585,0.8947347005208334,0.8871663411458334,0.8871663411458334,15009,0.5390099273769072,0.011705186631944444
0.02,oasis,73728,1.5681907608562229,45.30451859220323,1.038050493120661,1.0427340339972269,12.161530072301769,0.9094102647569444,0.9089898003472222,0.9089898003472222,15009,0.6599373709107869,0.014662000868055556
0.02,oasis_projected,73728,1.407765722897563,50.89983575643785,1.0275341304918049,1.0302357271972387,13.214370116075413,0.9237738715277778,0.9265679253472222,0.9265679253472222,15009,0.7426210940102606,0.013685438368055556
0.02,oasis_soft_projection,73728,1.3644413912905122,52.41090522137007,1.0229574212490333,1.0258612217694378,13.582872390807395,0.9295383029513888,0.9317220052083334,0.9317220052083334,15009,0.7522153374641881,0.010647243923611112
0.02,hybrid,73728,1.4470289582306386,49.53040952859957,1.0309099793313636,1.0346000536590578,12.846725303330977,0.9193929036458334,0.9212510850694444,0.9212510850694444,15009,0.7025118262375908,0.011027018229166666
0.02,aggressive_hybrid,73728,1.4409794525949284,49.74140466470386,1.0302475555030255,1.034157001971669,12.88404736346354,0.9202609592013888,0.9214545355902778,0.9214545355902778,15009,0.7029782130721567,0.010972764756944444
0.02,calibrated_hybrid,73728,1.37885978354131,51.90801939588974,1.0253502313778506,1.0285883037750807,13.35314678203949,0.9267035590277778,0.9287245008680556,0.9287245008680556,15009,0.7395562662402558,0.010986328125
0.02,fresh,73728,1.0,65.12192089568659,1.0,1.0,15.761385872313593,1.0,1.0,1.0,15009,1.0,0.0
0.05,stale,73728,2.8671303743798466,0.0,1.1828961861214249,1.187104050031295,0.0,0.7874348958333334,0.7895914713541666,0.7895914713541666,15009,0.0,0.0
0.05,isomer,73728,1.7022270195935132,40.6295913571178,1.0575144683974707,1.0663181117443927,10.174840047400908,0.8918321397569444,0.8833821614583334,0.8833821614583334,15009,0.5239522952894929,0.012464735243055556
0.05,oasis,73728,1.581955637952054,44.82442611999368,1.0399438273395694,1.0441154360809157,12.045162675218721,0.9081081814236112,0.9071994357638888,0.9071994357638888,15009,0.6545406089679525,0.015245225694444444
