seed,method,qerr_gm,max_feedback_resid,mean_feedback_resid
42,marg800,1.21486708,0.00550675,0.00051788
42,marg320,1.21677399,0.01210609,0.00163218
42,marg160,1.21962201,0.02413097,0.00333785
42,oasis_ipf40,1.32802764,0.02133733,0.00186946
42,avi,1.53788656,0.23214267,0.08677332
43,marg800,1.21642098,0.00517509,0.00052858
43,marg320,1.21851343,0.01728029,0.00166828
43,marg160,1.22184183,0.02582657,0.00340240
43,oasis_ipf40,1.33511243,0.02315597,0.00201865
43,avi,1.55151132,0.23729805,0.08686492
44,marg800,1.21408207,0.00765772,0.00057659
44,marg320,1.21725167,0.02418301,0.00190132
44,marg160,1.22143540,0.02530448,0.00376942
44,oasis_ipf40,1.32964203,0.02213246,0.00218130
44,avi,1.54666990,0.24890787,0.08862042
45,marg800,1.22169451,0.00606667,0.00056566
45,marg320,1.22364187,0.02181278,0.00187406
45,marg160,1.22697067,0.02531017,0.00389257
45,oasis_ipf40,1.34020927,0.02562197,0.00195897
45,avi,1.55795999,0.24890787,0.08854508
46,marg800,1.21062553,0.00576531,0.00054613
46,marg320,1.21249495,0.01342518,0.00167830
46,marg160,1.21571460,0.02182369,0.00347008
46,oasis_ipf40,1.32597171,0.04184766,0.00201404
46,avi,1.54067277,0.24890787,0.08677589
