seed,method,qerr_gm,max_feedback_resid,mean_feedback_resid
42,marg800,1.214867,0.00550675,0.000517876
42,marg320,1.216774,0.0121061,0.00163218
42,marg160,1.219622,0.024131,0.00333785
42,oasis_ipf40,1.328028,0.0213373,0.00186946
42,avi,1.537887,0.232143,0.0867733
43,marg800,1.216421,0.00517509,0.000528584
43,marg320,1.218513,0.0172803,0.00166828
43,marg160,1.221842,0.0258266,0.0034024
43,oasis_ipf40,1.335112,0.023156,0.00201865
43,avi,1.551511,0.237298,0.0868649
44,marg800,1.214082,0.00765772,0.000576585
44,marg320,1.217252,0.024183,0.00190132
44,marg160,1.221435,0.0253045,0.00376942
44,oasis_ipf40,1.329642,0.0221325,0.0021813
44,avi,1.546670,0.248908,0.0886204
45,marg800,1.221695,0.00606667,0.000565661
45,marg320,1.223642,0.0218128,0.00187406
45,marg160,1.226971,0.0253102,0.00389257
45,oasis_ipf40,1.340209,0.025622,0.00195897
45,avi,1.557960,0.248908,0.0885451
46,marg800,1.210626,0.00576531,0.000546134
46,marg320,1.212495,0.0134252,0.0016783
46,marg160,1.215715,0.0218237,0.00347008
46,oasis_ipf40,1.325972,0.0418477,0.00201404
46,avi,1.540673,0.248908,0.0867759
