method,bike:temp~atemp,bike:casual~cnt,wwhite:freeSO2~totSO2,wred:fixedAcid~pH,wred:density~alcohol,forest:hill9~hill3,forest:elev~roadway,census:age~hours
marg160,1.323370,1.316768,1.217277,1.232089,1.198026,1.318523,1.164492,1.093026
marg_a1.25,1.336154,1.319641,1.220332,1.236814,1.201424,1.326842,1.166625,1.096688
marg80,1.338128,1.320741,1.221861,1.237982,1.202998,1.330498,1.167400,1.097326
marg_a1,1.338128,1.320741,1.221861,1.237982,1.202998,1.330498,1.167400,1.097326
marg_pass4,1.337757,1.320626,1.221988,1.238226,1.203183,1.330758,1.167289,1.097323
marg_pass2,1.337841,1.320647,1.221977,1.238189,1.203157,1.330737,1.167302,1.097323
marg_a0.75,1.342300,1.322803,1.224203,1.240339,1.205445,1.335565,1.168702,1.098641
marg_a0.5,1.350854,1.326955,1.228334,1.245287,1.209366,1.344220,1.171211,1.100969
marg40,1.359107,1.328056,1.228603,1.246887,1.210277,1.347342,1.171780,1.103780
marg20,1.386051,1.341082,1.238659,1.259556,1.218477,1.366988,1.178257,1.110120
mix_marg_avi_w0.75,1.429289,1.412976,1.282894,1.314288,1.249473,1.447983,1.201842,1.114503
ipf160,1.560323,1.477769,1.329103,1.353997,1.288271,1.455270,1.224303,1.133483
soft_a1.25,1.560662,1.477758,1.329365,1.353663,1.288281,1.455321,1.224316,1.133611
ipf80,1.560713,1.477632,1.329546,1.353952,1.288296,1.455190,1.224313,1.133476
soft_a1.5,1.560851,1.478193,1.329242,1.353481,1.288302,1.455685,1.224265,1.133726
soft_a0.75,1.561122,1.477552,1.329930,1.354507,1.288342,1.455667,1.224274,1.133248
oasis_ipf40,1.561649,1.477187,1.330396,1.354998,1.288424,1.456648,1.224348,1.133029
ipf40,1.561649,1.477187,1.330396,1.354998,1.288424,1.456648,1.224348,1.133029
soft_a0.5,1.562274,1.477526,1.330741,1.355667,1.288460,1.457224,1.224326,1.133036
ipf20,1.566504,1.477736,1.332736,1.358235,1.288957,1.459598,1.224588,1.132868
soft_a0.25,1.565313,1.477194,1.333586,1.359062,1.289239,1.462516,1.224955,1.133063
ipf10,1.575456,1.478523,1.337954,1.362984,1.290374,1.466143,1.225986,1.133511
mix_marg_avi_w0.5,1.522865,1.557550,1.349288,1.396253,1.302838,1.569976,1.239757,1.137451
mix_ipf_avi_w0.75,1.582499,1.530352,1.363137,1.403677,1.313349,1.550818,1.242292,1.139666
mix_ipf_avi_w0.5,1.619350,1.639094,1.402261,1.456165,1.345945,1.638502,1.265275,1.152244
mix_marg_avi_w0.25,1.627373,1.773122,1.421913,1.482909,1.360977,1.690771,1.278761,1.162481
mix_ipf_avi_w0.25,1.675805,1.820046,1.448445,1.513993,1.383645,1.726101,1.290845,1.168852
avi,1.753859,2.136111,1.503110,1.580231,1.426933,1.823002,1.318787,1.189319
