seed,method,qerr_gm,max_feedback_resid,mean_feedback_resid
42,marg160,1.219622,0.024131,0.00333785
42,marg_a1.25,1.223766,0.0333577,0.00566618
42,marg_pass4,1.224788,0.0322717,0.00590534
42,marg_pass2,1.224804,0.0326739,0.00592013
42,marg80,1.224898,0.0339569,0.00596276
42,marg_a1,1.224898,0.0339569,0.00596276
42,marg_a0.75,1.227029,0.0351798,0.00674405
42,marg_a0.5,1.231178,0.037549,0.00838641
42,marg40,1.232856,0.0527527,0.00977025
42,marg20,1.243452,0.0704095,0.0148457
42,mix_marg_avi_w0.75,1.283592,0.0742132,0.0229564
42,ipf160,1.327947,0.0027392,0.000115531
43,marg160,1.221842,0.0258266,0.0034024
43,marg_a1.25,1.226266,0.0293059,0.00572573
43,marg80,1.227741,0.027857,0.00600735
43,marg_a1,1.227741,0.027857,0.00600735
43,marg_pass2,1.228007,0.0271812,0.00598275
43,marg_pass4,1.228160,0.0269205,0.00597174
43,marg_a0.75,1.230284,0.0310823,0.00668255
43,marg_a0.5,1.234885,0.0377818,0.00813855
43,marg40,1.236593,0.0447929,0.00957776
43,marg20,1.248487,0.0690698,0.0142715
43,mix_marg_avi_w0.75,1.291072,0.0706481,0.023086
43,ipf160,1.334880,0.00694675,0.00013279
44,marg160,1.221435,0.0253045,0.00376942
44,marg_a1.25,1.226806,0.0438805,0.00629532
44,marg_pass4,1.227708,0.041745,0.006643
44,marg_pass2,1.227747,0.0420539,0.00665249
44,marg80,1.227774,0.0425433,0.0066728
44,marg_a1,1.227774,0.0425433,0.0066728
44,marg_a0.75,1.229778,0.0434962,0.00748164
44,marg_a0.5,1.233879,0.0466571,0.00905442
44,marg40,1.236279,0.0804744,0.010559
44,marg20,1.247340,0.119449,0.0155278
44,mix_marg_avi_w0.75,1.289131,0.0741864,0.0236063
44,soft_a1.5,1.329111,0.0343881,0.000663393
45,marg160,1.226971,0.0253102,0.00389257
45,marg_a1.25,1.231788,0.0405277,0.00656585
45,marg80,1.233283,0.0379704,0.00685842
45,marg_a1,1.233283,0.0379704,0.00685842
45,marg_pass4,1.233321,0.0383925,0.00682384
45,marg_pass2,1.233321,0.0382675,0.00683599
45,marg_a0.75,1.235810,0.0420552,0.0075899
45,marg_a0.5,1.240485,0.0474715,0.00922623
45,marg40,1.242625,0.0691201,0.0107956
45,marg20,1.254800,0.0984338,0.0159966
45,mix_marg_avi_w0.75,1.297019,0.0758805,0.0237332
45,ipf160,1.339751,0.00512899,0.000179144
46,marg160,1.215715,0.0218237,0.00347008
46,marg_a1.25,1.220092,0.040212,0.00590477
46,marg_pass2,1.221415,0.0362842,0.00611182
46,marg80,1.221424,0.0367802,0.00616368
46,marg_a1,1.221424,0.0367802,0.00616368
46,marg_pass4,1.221490,0.0360455,0.00609004
46,marg_a0.75,1.223888,0.0337924,0.00687053
46,marg_a0.5,1.228320,0.0335435,0.0084357
46,marg40,1.230237,0.0554822,0.00981419
46,marg20,1.242148,0.0651744,0.0144292
46,mix_marg_avi_w0.75,1.282852,0.0709144,0.0231318
46,ipf160,1.325306,0.00412587,0.000118404
