sigma,pair,avi_true,ipf40,marg800,marg_beats_ipf
0.00,bike:temp~atemp,1.7044,1.5049,1.2573,1
0.00,bike:casual~cnt,2.1185,1.4799,1.3230,1
0.00,wwhite:freeSO2~totSO2,1.4969,1.3265,1.2095,1
0.00,wred:fixedAcid~pH,1.5447,1.3516,1.2253,1
0.00,wred:density~alcohol,1.4245,1.2765,1.1912,1
0.00,forest:hill9~hill3,1.8435,1.4755,1.3305,1
0.00,forest:elev~roadway,1.3183,1.2257,1.1571,1
0.00,census:age~hours,1.1956,1.1415,1.0999,1
0.10,bike:temp~atemp,1.7044,1.5073,1.3259,1
0.10,bike:casual~cnt,2.1185,1.4808,1.3907,1
0.10,wwhite:freeSO2~totSO2,1.4969,1.3310,1.2841,1
0.10,wred:fixedAcid~pH,1.5447,1.3560,1.3214,1
0.10,wred:density~alcohol,1.4245,1.2807,1.2740,1
0.10,forest:hill9~hill3,1.8435,1.4794,1.4479,1
0.10,forest:elev~roadway,1.3183,1.2325,1.1943,1
0.10,census:age~hours,1.1956,1.1498,1.2007,0
0.20,bike:temp~atemp,1.7044,1.5163,1.3963,1
0.20,bike:casual~cnt,2.1185,1.4909,1.6092,0
0.20,wwhite:freeSO2~totSO2,1.4969,1.3506,1.4555,0
0.20,wred:fixedAcid~pH,1.5447,1.3632,1.4510,0
0.20,wred:density~alcohol,1.4245,1.2932,1.4480,0
0.20,forest:hill9~hill3,1.8435,1.4863,1.5849,0
0.20,forest:elev~roadway,1.3183,1.2460,1.3142,0
0.20,census:age~hours,1.1956,1.1649,1.4510,0
0.30,bike:temp~atemp,1.7044,1.5329,1.4845,1
0.30,bike:casual~cnt,2.1185,1.5109,1.9506,0
0.30,wwhite:freeSO2~totSO2,1.4969,1.3609,1.6630,0
0.30,wred:fixedAcid~pH,1.5447,1.3758,1.6077,0
0.30,wred:density~alcohol,1.4245,1.3171,1.5999,0
0.30,forest:hill9~hill3,1.8435,1.5068,1.7342,0
0.30,forest:elev~roadway,1.3183,1.2814,1.5414,0
0.30,census:age~hours,1.1956,1.1819,1.5726,0
0.40,bike:temp~atemp,1.7044,1.5388,1.5795,0
0.40,bike:casual~cnt,2.1185,1.5542,2.2043,0
0.40,wwhite:freeSO2~totSO2,1.4969,1.3883,1.9700,0
0.40,wred:fixedAcid~pH,1.5447,1.3942,1.7884,0
0.40,wred:density~alcohol,1.4245,1.3347,1.8654,0
0.40,forest:hill9~hill3,1.8435,1.5243,1.8558,0
0.40,forest:elev~roadway,1.3183,1.3031,1.7152,0
0.40,census:age~hours,1.1956,1.2334,1.9939,0
0.60,bike:temp~atemp,1.7044,1.5622,1.7220,0
0.60,bike:casual~cnt,2.1185,1.5896,2.3299,0
0.60,wwhite:freeSO2~totSO2,1.4969,1.4404,2.1674,0
0.60,wred:fixedAcid~pH,1.5447,1.4266,1.9573,0
0.60,wred:density~alcohol,1.4245,1.3850,2.0310,0
0.60,forest:hill9~hill3,1.8435,1.5691,2.1629,0
0.60,forest:elev~roadway,1.3183,1.3565,1.9177,0
0.60,census:age~hours,1.1956,1.3100,2.7968,0
0.80,bike:temp~atemp,1.7044,1.6368,2.3468,0
0.80,bike:casual~cnt,2.1185,1.6311,2.3794,0
0.80,wwhite:freeSO2~totSO2,1.4969,1.5239,3.0152,0
0.80,wred:fixedAcid~pH,1.5447,1.5129,2.7362,0
0.80,wred:density~alcohol,1.4245,1.5255,3.4291,0
0.80,forest:hill9~hill3,1.8435,1.6218,2.8820,0
0.80,forest:elev~roadway,1.3183,1.4221,2.2662,0
0.80,census:age~hours,1.1956,1.4273,3.2359,0
