pattern,method,n_cases,qerror_gm,qerror_improvement_pct,selectivity_mae_mean,quantile_mae_mean,feedback_residual_mean,beats_stale_frac,hybrid_isomer_frac,hybrid_oasis_projected_frac,hybrid_oasis_frac,hybrid_stale_frac
batch_load,stale,128,4.2028274777183725,0.0,0.3335475560656385,0.36525249696840617,0.26858125223880974,0.0,0.6875,0.296875,0.015625,0.0
batch_load,isomer,128,1.460996297880612,65.23777610129844,0.046740360561397146,0.05226672057624971,0.08612539825381928,1.0,0.6875,0.296875,0.015625,0.0
batch_load,oasis,128,1.2798472054394172,69.54794808436392,0.0432742190386698,0.047983503569977735,0.15956566272107983,1.0,0.6875,0.296875,0.015625,0.0
batch_load,oasis_projected,128,1.2722222614005132,69.72937223463724,0.028223128868674383,0.03175772934963324,0.08891869077839536,1.0,0.6875,0.296875,0.015625,0.0
batch_load,hybrid,128,1.3875096171486916,66.98628186608455,0.039132450957263164,0.04381907746272182,0.08469002817848734,1.0,0.6875,0.296875,0.015625,0.0
batch_load,fresh,128,1.0,76.20649419226508,0.0,0.0,0.09602466110786624,1.0,0.6875,0.296875,0.015625,0.0
range_shift,stale,128,1.9941217964572884,0.0,0.2257925388711792,0.2527048040305496,0.17153938784803213,0.0,0.765625,0.234375,0.0,0.0
range_shift,isomer,128,1.210439419506244,39.299624443367335,0.058347279215219455,0.06568013317460812,0.10852093206057399,1.0,0.765625,0.234375,0.0,0.0
range_shift,oasis,128,1.3522561455154616,32.18788601990865,0.055548279662670653,0.06492657983355958,0.14803350420918343,0.96875,0.765625,0.234375,0.0,0.0
range_shift,oasis_projected,128,1.1865749981956426,40.49636284485306,0.04263970265989987,0.04879933659549333,0.11281719809567324,0.9921875,0.765625,0.234375,0.0,0.0
range_shift,hybrid,128,1.2097994947161481,39.33171500028481,0.05626185373006319,0.06318324557269603,0.10779908098939936,1.0,0.765625,0.234375,0.0,0.0
range_shift,fresh,128,1.0,49.852611722284095,0.0,0.0,0.12598971230952358,1.0,0.765625,0.234375,0.0,0.0
skew_evol,stale,128,1.540036462758163,0.0,0.17866423917608434,0.20115162553269797,0.10919034581082979,0.0,0.8046875,0.1953125,0.0,0.0
skew_evol,isomer,128,1.181610141461452,23.27388538936146,0.04979782223407469,0.05726475477182633,0.03974498728325281,0.9765625,0.8046875,0.1953125,0.0,0.0
skew_evol,oasis,128,1.437354842874204,6.667479788112231,0.09316919156231515,0.10722891106690899,0.08626151241711062,0.7578125,0.8046875,0.1953125,0.0,0.0
skew_evol,oasis_projected,128,1.1709664176280061,23.96501992356484,0.044741366541924406,0.05214248574309255,0.044930512379915105,0.9609375,0.8046875,0.1953125,0.0,0.0
skew_evol,hybrid,128,1.1754901672845468,23.671276900854924,0.04934463516015379,0.05690355905241637,0.039486935259591356,0.9921875,0.8046875,0.1953125,0.0,0.0
skew_evol,fresh,128,1.0,35.06647250357778,0.0,0.0,0.054892603767530176,1.0,0.8046875,0.1953125,0.0,0.0
outlier,stale,128,1.2578424098316028,0.0,0.0606958385716163,0.06776332332425171,0.05242597211779972,0.0,0.640625,0.359375,0.0,0.0
outlier,isomer,128,1.0761705134593094,14.443136513151536,0.016441984785142156,0.01868806303557557,0.01679986060186005,0.9765625,0.640625,0.359375,0.0,0.0
outlier,oasis,128,1.1352899247800463,9.7430714764947,0.03541956016340982,0.03997363643259461,0.056853817978178595,0.7421875,0.640625,0.359375,0.0,0.0
outlier,oasis_projected,128,1.0548928798677504,16.134734238371152,0.012102812738159134,0.0140523915756468,0.017942247970681374,0.9921875,0.640625,0.359375,0.0,0.0
outlier,hybrid,128,1.0665316579900075,15.209437235242177,0.014400597910818134,0.016397896378658353,0.016153876252891754,0.9921875,0.640625,0.359375,0.0,0.0
outlier,fresh,128,1.0,20.498784888809894,0.0,0.0,0.02324853228991315,1.0,0.640625,0.359375,0.0,0.0
multimodal,stale,128,1.2383540105707764,0.0,0.07310567519877012,0.08060070502140043,0.054961149393107644,0.0,0.625,0.375,0.0,0.0
multimodal,isomer,128,1.0660610600625566,13.913061130944884,0.02035158010709167,0.023448257880159234,0.020717903846606114,0.9921875,0.625,0.375,0.0,0.0
multimodal,oasis,128,1.1344700492556428,8.38887429833186,0.04172211721931099,0.047637873317230094,0.06357949593668777,0.7578125,0.625,0.375,0.0,0.0
multimodal,oasis_projected,128,1.0600158528844326,14.401225833971745,0.018863204819465948,0.021878988964928472,0.022423284451547246,0.984375,0.625,0.375,0.0,0.0
multimodal,hybrid,128,1.064124339064478,14.069455908330559,0.019881961893031555,0.02287248769375926,0.020283631603550442,0.9921875,0.625,0.375,0.0,0.0
multimodal,fresh,128,1.0,19.2476471619707,0.0,0.0,0.027804585263821107,1.0,0.625,0.375,0.0,0.0
seasonal,stale,128,1.2115932686404003,0.0,0.0521533648487347,0.05916806119040323,0.04178565561549942,0.0,0.703125,0.2890625,0.0078125,0.0
seasonal,isomer,128,1.06577911700243,12.034909355480067,0.016288991604704914,0.018308751736327268,0.01727184859662494,0.9921875,0.703125,0.2890625,0.0078125,0.0
seasonal,oasis,128,1.129374348178892,6.786016610489336,0.03394060409606663,0.0384137620499889,0.05047378224433967,0.6875,0.703125,0.2890625,0.0078125,0.0
seasonal,oasis_projected,128,1.0571441131598067,12.747607590615786,0.013390529415398138,0.015094516205190742,0.018914511586467616,0.9765625,0.703125,0.2890625,0.0078125,0.0
seasonal,hybrid,128,1.0644266553927428,12.146536057665765,0.015791013097842324,0.017736396289571986,0.016900500718434918,0.984375,0.703125,0.2890625,0.0078125,0.0
seasonal,fresh,128,1.0,17.4640511892115,0.0,0.0,0.025207103385234117,1.0,0.703125,0.2890625,0.0078125,0.0
