pattern,method,n_cases,qerror_gm,qerror_improvement_pct,selectivity_mae_mean,quantile_mae_mean,feedback_residual_mean,beats_stale_frac,hybrid_isomer_frac,hybrid_oasis_projected_frac,hybrid_oasis_frac,hybrid_stale_frac
batch_load,stale,128,4.202827477718372,0.0,0.3335475560656386,0.3652524969684063,0.26858125223880963,0.0,0.6171875,0.375,0.0078125,0.0
batch_load,isomer,128,1.460996297880612,65.23777610129844,0.04674036056139713,0.05226672057624971,0.08612539825381926,1.0,0.6171875,0.375,0.0078125,0.0
batch_load,oasis,128,1.9871492403187898,52.71875300963883,0.12722336636689321,0.13801768593751776,0.1732540564494789,1.0,0.6171875,0.375,0.0078125,0.0
batch_load,oasis_projected,128,1.251366469696416,70.22560463567358,0.028510456408902998,0.03193096731482027,0.0873231312596076,1.0,0.6171875,0.375,0.0078125,0.0
batch_load,oasis_soft_projection,128,1.4221657585818144,66.16169076362185,0.043679496285626396,0.048463971602198785,0.08396229258826207,1.0,0.6171875,0.375,0.0078125,0.0
batch_load,hybrid,128,1.3903974482197463,66.91757024072365,0.04006161738758745,0.04482507242008724,0.08463163896840646,1.0,0.6171875,0.375,0.0078125,0.0
batch_load,aggressive_hybrid,128,1.390491350028032,66.91533598750283,0.04035541978733119,0.045241248201125205,0.08293198966462278,1.0,0.6171875,0.375,0.0078125,0.0
batch_load,fresh,128,1.0,76.20649419226507,0.0,0.0,0.09602466110786623,1.0,0.6171875,0.375,0.0078125,0.0
range_shift,stale,128,1.9941217964572877,0.0,0.22579253887117917,0.25270480403054946,0.1715393878480322,0.0,0.75,0.21875,0.03125,0.0
range_shift,isomer,128,1.2104394195062438,39.29962444336733,0.058347279215219434,0.06568013317460816,0.10852093206057403,1.0,0.75,0.21875,0.03125,0.0
range_shift,oasis,128,1.3814230655731818,30.725241154909032,0.10048339568910117,0.11388423972497201,0.142312430527268,1.0,0.75,0.21875,0.03125,0.0
range_shift,oasis_projected,128,1.211530004910528,39.24493443364868,0.04894825427185899,0.05663923243597117,0.11278817729085329,1.0,0.75,0.21875,0.03125,0.0
range_shift,oasis_soft_projection,128,1.2859927748554911,35.51082099698438,0.06580189489035422,0.07438282365022823,0.10511728784253406,1.0,0.75,0.21875,0.03125,0.0
range_shift,hybrid,128,1.2212459606180444,38.75770463029477,0.05920342664364253,0.06664988296749065,0.10805014750309805,1.0,0.75,0.21875,0.03125,0.0
range_shift,aggressive_hybrid,128,1.2286010997189325,38.38886361396592,0.06047427414745848,0.06796102381113397,0.10749027775186938,1.0,0.75,0.21875,0.03125,0.0
range_shift,fresh,128,1.0,49.85261172228408,0.0,0.0,0.12598971230952358,1.0,0.75,0.21875,0.03125,0.0
skew_evol,stale,128,1.540036462758163,0.0,0.17866423917608443,0.201151625532698,0.10919034581082979,0.0,0.734375,0.265625,0.0,0.0
skew_evol,isomer,128,1.181610141461452,23.27388538936146,0.04979782223407465,0.057264754771826354,0.03974498728325283,0.9765625,0.734375,0.265625,0.0,0.0
skew_evol,oasis,128,1.5206050947303522,1.2617472701269568,0.11271466107967006,0.12876723723211458,0.09336910316007327,0.65625,0.734375,0.265625,0.0,0.0
skew_evol,oasis_projected,128,1.1712111023173146,23.94913168356367,0.04589242886912385,0.05308517314367409,0.04439286506266355,0.9609375,0.734375,0.265625,0.0,0.0
skew_evol,oasis_soft_projection,128,1.16285607325858,24.49165319268242,0.053488406873599,0.06213551544865099,0.03858304016335295,0.9921875,0.734375,0.265625,0.0,0.0
skew_evol,hybrid,128,1.174080112874145,23.762836707684205,0.049589274628716776,0.05731282559838695,0.039337097303149826,0.984375,0.734375,0.265625,0.0,0.0
skew_evol,aggressive_hybrid,128,1.1732239336527726,23.81843144469705,0.05053174393468917,0.058312940063957514,0.03881395367984654,0.984375,0.734375,0.265625,0.0,0.0
skew_evol,fresh,128,1.0,35.06647250357778,0.0,0.0,0.054892603767530176,1.0,0.734375,0.265625,0.0,0.0
outlier,stale,128,1.257842409831603,0.0,0.06069583857161633,0.06776332332425172,0.052425972117799736,0.0,0.625,0.3671875,0.0,0.0078125
outlier,isomer,128,1.0761705134593094,14.443136513151552,0.01644198478514215,0.01868806303557558,0.01679986060186006,0.9765625,0.625,0.3671875,0.0,0.0078125
outlier,oasis,128,1.1390054364953115,9.447683780371273,0.03309537872857381,0.037335190330153,0.051130457224882846,0.7578125,0.625,0.3671875,0.0,0.0078125
outlier,oasis_projected,128,1.0640641454870947,15.405607477525812,0.012705176418745303,0.014903583536005082,0.01854425122553477,0.9921875,0.625,0.3671875,0.0,0.0078125
outlier,oasis_soft_projection,128,1.071881105962193,14.784149621279344,0.01393105816031904,0.015878253942396316,0.018246574187956013,0.984375,0.625,0.3671875,0.0,0.0078125
outlier,hybrid,128,1.0706270896907273,14.88384543863008,0.015070377694041156,0.017030927028397383,0.016254934424437737,0.9921875,0.625,0.3671875,0.0,0.0078125
outlier,aggressive_hybrid,128,1.0708875330150958,14.86313987787519,0.015187265480438665,0.017157592215109242,0.016062049459318946,0.984375,0.625,0.3671875,0.0,0.0078125
outlier,fresh,128,1.0,20.498784888809908,0.0,0.0,0.02324853228991316,1.0,0.625,0.3671875,0.0,0.0078125
multimodal,stale,128,1.2383540105707764,0.0,0.07310567519877008,0.0806007050214004,0.05496114939310764,0.0,0.6953125,0.296875,0.0078125,0.0
multimodal,isomer,128,1.0660610600625566,13.913061130944884,0.020351580107091677,0.023448257880159234,0.020717903846606114,0.9921875,0.6953125,0.296875,0.0078125,0.0
multimodal,oasis,128,1.1356730958570944,8.291725454690845,0.04134427541108883,0.0473638309294849,0.05495245809540071,0.8046875,0.6953125,0.296875,0.0078125,0.0
multimodal,oasis_projected,128,1.0630442442135255,14.156676108833205,0.019425882207562452,0.02249847400081952,0.022477967909232625,0.9921875,0.6953125,0.296875,0.0078125,0.0
multimodal,oasis_soft_projection,128,1.0645283837358261,14.03682835046752,0.021224688429928886,0.024757992831416477,0.021757351278652613,0.9765625,0.6953125,0.296875,0.0078125,0.0
multimodal,hybrid,128,1.0653760652093311,13.968376077024782,0.02030921930929989,0.023317321737508858,0.020406224095051585,1.0,0.6953125,0.296875,0.0078125,0.0
multimodal,aggressive_hybrid,128,1.0689416115071526,13.680449824322775,0.021178979868604366,0.024193227894436092,0.020152635398420885,0.984375,0.6953125,0.296875,0.0078125,0.0
multimodal,fresh,128,1.0,19.2476471619707,0.0,0.0,0.027804585263821104,1.0,0.6953125,0.296875,0.0078125,0.0
seasonal,stale,128,1.2115932686404,0.0,0.052153364848734715,0.05916806119040322,0.04178565561549942,0.0,0.6796875,0.3203125,0.0,0.0
seasonal,isomer,128,1.06577911700243,12.034909355480051,0.016288991604704907,0.018308751736327268,0.017271848596624936,0.9921875,0.6796875,0.3203125,0.0,0.0
seasonal,oasis,128,1.1272202191034797,6.963809697589383,0.03420819132947167,0.038546004025538594,0.05170814687240264,0.8125,0.6796875,0.3203125,0.0,0.0
seasonal,oasis_projected,128,1.0583862541206852,12.645086307852917,0.013732147405746124,0.015392281767702673,0.019300247383020386,0.9921875,0.6796875,0.3203125,0.0,0.0
