q_mods,method,n,selectivity_qerr_gm,scan_regret_gm,join_regret_gm,scan_optimal_match_frac,join_optimal_match_frac,join_fresh_match_frac,risky_stale_cases,risk_resolved_frac,new_risk_loss_frac
1,stale,1536,1.210647131156442,1.0142718141704443,1.0040617994212393,0.9518229166666666,0.9759114583333334,0.9759114583333334,28,0.0,0.0
1,isomer,1536,1.1367089817055003,1.007119021712908,1.004341314263761,0.9713541666666666,0.9759114583333334,0.9759114583333334,28,0.5357142857142857,0.009114583333333334
1,oasis,1536,1.2638887484722015,1.0165655756423762,1.0135087033258132,0.943359375,0.9459635416666666,0.9459635416666666,28,0.5357142857142857,0.036458333333333336
1,oasis_projected,1536,1.1891388688867597,1.0109582550276044,1.0081517856158502,0.95703125,0.9641927083333334,0.9641927083333334,28,0.6428571428571429,0.0234375
1,hybrid,1536,1.1514419507137936,1.006454909158448,1.0057942445518684,0.97265625,0.9713541666666666,0.9713541666666666,28,0.4642857142857143,0.013671875
1,aggressive_hybrid,1536,1.152750688611274,1.005460825188858,1.0054440496725032,0.974609375,0.9700520833333334,0.9700520833333334,28,0.4642857142857143,0.013020833333333334
1,fresh,1536,1.0,1.0,1.0,1.0,1.0,1.0,28,1.0,0.0
3,stale,1536,1.6481051623535339,1.0517819078735307,1.0498390773689534,0.8899739583333334,0.8984375,0.8984375,145,0.0,0.0
3,isomer,1536,1.3108805556809817,1.0141131401506993,1.0191528068814968,0.9479166666666666,0.9368489583333334,0.9368489583333334,145,0.5517241379310345,0.012369791666666666
3,oasis,1536,1.388323608689765,1.0345631726603262,1.0254705668173354,0.91796875,0.931640625,0.931640625,145,0.6206896551724138,0.026041666666666668
3,oasis_projected,1536,1.3028850462853452,1.0185348371136285,1.0224309833375316,0.939453125,0.9361979166666666,0.9361979166666666,145,0.6482758620689655,0.024088541666666668
3,hybrid,1536,1.304716147892817,1.0151948031914821,1.020204939652549,0.9440104166666666,0.9348958333333334,0.9348958333333334,145,0.5724137931034483,0.016927083333333332
3,aggressive_hybrid,1536,1.3105002034142599,1.0155319405212655,1.0220966783987198,0.94140625,0.9322916666666666,0.9322916666666666,145,0.5379310344827586,0.016927083333333332
3,fresh,1536,1.0,1.0,1.0,1.0,1.0,1.0,145,1.0,0.0
5,stale,1536,1.9554371968166502,1.0905190904897826,1.0950889126010295,0.8548177083333334,0.861328125,0.861328125,206,0.0,0.0
5,isomer,1536,1.384764144421458,1.0261293431542766,1.0302742411578532,0.9264322916666666,0.9205729166666666,0.9205729166666666,206,0.5339805825242718,0.012369791666666666
5,oasis,1536,1.5070119684186913,1.0370475211935037,1.0319967767504978,0.9166666666666666,0.9166666666666666,0.9166666666666666,206,0.5631067961165048,0.020833333333333332
5,oasis_projected,1536,1.368346032373533,1.027397160305324,1.027351450918528,0.9290364583333334,0.92578125,0.92578125,206,0.587378640776699,0.014973958333333334
5,hybrid,1536,1.372521622317526,1.0265175809737066,1.027271698258193,0.9251302083333334,0.9251302083333334,0.9251302083333334,206,0.5631067961165048,0.01171875
5,aggressive_hybrid,1536,1.3758778729968875,1.0261541792641278,1.0272853861747966,0.9264322916666666,0.9251302083333334,0.9251302083333334,206,0.5679611650485437,0.01171875
5,fresh,1536,1.0,1.0,1.0,1.0,1.0,1.0,206,1.0,0.0
10,stale,1536,2.95403338554927,1.2064447420636024,1.1629854459576283,0.779296875,0.806640625,0.806640625,285,0.0,0.0
10,isomer,1536,1.5844707468642043,1.0440440930598205,1.0529378160046692,0.9108072916666666,0.900390625,0.900390625,285,0.5789473684210527,0.015625
10,oasis,1536,1.657376569098894,1.0570926612572744,1.0503199713597173,0.9010416666666666,0.9016927083333334,0.9016927083333334,285,0.6070175438596491,0.020182291666666668
10,oasis_projected,1536,1.4651211384484653,1.0328253443030082,1.037542011859377,0.9264322916666666,0.9173177083333334,0.9173177083333334,285,0.6912280701754386,0.018229166666666668
10,hybrid,1536,1.4987976282923812,1.0396263195328943,1.0358859171830934,0.91796875,0.919921875,0.919921875,285,0.6771929824561403,0.014322916666666666
