q_mods,method,n,selectivity_qerr_gm,scan_regret_gm,join_regret_gm,scan_optimal_match_frac,join_optimal_match_frac,join_fresh_match_frac,risky_stale_cases,risk_resolved_frac,new_risk_loss_frac
1,stale,4096,1.2259274999037335,1.0135958457007237,1.0067201318945111,0.950439453125,0.969970703125,0.969970703125,95,0.0,0.0
1,isomer,4096,1.1335783984266963,1.005113019699838,1.0043344943585317,0.9716796875,0.976806640625,0.976806640625,95,0.6210526315789474,0.00830078125
1,oasis,4096,1.2667124675782748,1.0161695618905382,1.0123643192503702,0.939453125,0.950439453125,0.950439453125,95,0.6526315789473685,0.033447265625
1,oasis_projected,4096,1.1766578699149761,1.00837257282221,1.0068570413148457,0.9580078125,0.968017578125,0.968017578125,95,0.7263157894736842,0.019775390625
1,oasis_soft_projection,4096,1.163317716543605,1.0083069298854308,1.0070671542260239,0.9560546875,0.96630859375,0.96630859375,95,0.6842105263157895,0.0205078125
1,hybrid,4096,1.1468553769408898,1.0049273342401919,1.0057400416123756,0.971435546875,0.972412109375,0.972412109375,95,0.6,0.01318359375
1,aggressive_hybrid,4096,1.146807771519288,1.0045528980887537,1.00562589708783,0.971435546875,0.971923828125,0.971923828125,95,0.6,0.012939453125
1,fresh,4096,1.0,1.0,1.0,1.0,1.0,1.0,95,1.0,0.0
3,stale,4096,1.6668588074711528,1.057348209856356,1.051295199977995,0.8974609375,0.892333984375,0.892333984375,410,0.0,0.0
3,isomer,4096,1.2955410459902341,1.0136367766471879,1.0172354287297551,0.951416015625,0.93896484375,0.93896484375,410,0.5658536585365853,0.0107421875
3,oasis,4096,1.3688102717566768,1.0242927432602806,1.0258257873123555,0.932373046875,0.92333984375,0.92333984375,410,0.5975609756097561,0.02880859375
3,oasis_projected,4096,1.2812016669684352,1.0158741649246674,1.0178476196765727,0.9462890625,0.939208984375,0.939208984375,410,0.6414634146341464,0.01806640625
3,oasis_soft_projection,4096,1.2531512032463727,1.0107568080983182,1.017260619710452,0.956298828125,0.939208984375,0.939208984375,410,0.6414634146341464,0.018310546875
3,hybrid,4096,1.2976525145456328,1.0152577126625373,1.0185414028515698,0.947265625,0.9375,0.9375,410,0.5585365853658537,0.01123046875
3,aggressive_hybrid,4096,1.3071938991701537,1.0175332334213125,1.018627056436496,0.94384765625,0.936767578125,0.936767578125,410,0.5536585365853659,0.011962890625
3,fresh,4096,1.0,1.0,1.0,1.0,1.0,1.0,410,1.0,0.0
5,stale,4096,2.019925874278874,1.0879154820096106,1.0997330241494259,0.8525390625,0.851806640625,0.851806640625,572,0.0,0.0
5,isomer,4096,1.375845967807931,1.0240105895611236,1.029518375021811,0.92724609375,0.92431640625,0.92431640625,572,0.5734265734265734,0.008544921875
5,oasis,4096,1.5155075126734088,1.0414044770158204,1.0411146857984963,0.907470703125,0.904052734375,0.904052734375,572,0.5751748251748252,0.0283203125
5,oasis_projected,4096,1.3530268833061656,1.0236840612276987,1.0244748727410506,0.927734375,0.93115234375,0.93115234375,572,0.6643356643356644,0.013916015625
5,oasis_soft_projection,4096,1.3551744753362416,1.023120541068563,1.026089438056024,0.9296875,0.927734375,0.927734375,572,0.6363636363636364,0.01416015625
5,hybrid,4096,1.360497122384268,1.023258253079405,1.0248617702009468,0.926513671875,0.9287109375,0.9287109375,572,0.6241258741258742,0.0107421875
5,aggressive_hybrid,4096,1.3639676808006151,1.0245698494026791,1.0249049451179513,0.92529296875,0.92822265625,0.92822265625,572,0.6223776223776224,0.0107421875
5,fresh,4096,1.0,1.0,1.0,1.0,1.0,1.0,572,1.0,0.0
10,stale,4096,2.7702771685191916,1.1681539668666892,1.1661337792038327,0.801025390625,0.8046875,0.8046875,783,0.0,0.0
10,isomer,4096,1.5641898393230091,1.0423500073985854,1.0500847510818188,0.906005859375,0.897705078125,0.897705078125,783,0.5670498084291188,0.013427734375
10,oasis,4096,1.6467330640778195,1.0555341706160464,1.0437629567859643,0.89306640625,0.911865234375,0.911865234375,783,0.6500638569604087,0.017822265625
10,oasis_projected,4096,1.464827234756487,1.027645210723149,1.0366358044731145,0.920654296875,0.919677734375,0.919677734375,783,0.6909323116219668,0.015625
10,oasis_soft_projection,4096,1.4525320151680035,1.0253740794947994,1.034799116063143,0.92333984375,0.91748046875,0.91748046875,783,0.6590038314176245,0.012451171875
10,hybrid,4096,1.485014647981458,1.032844072714385,1.0367905188374618,0.91650390625,0.91650390625,0.91650390625,783,0.6526181353767561,0.011474609375
10,aggressive_hybrid,4096,1.4893790416438086,1.0327657951705154,1.0377229413267586,0.91650390625,0.915283203125,0.915283203125,783,0.6411238825031929,0.0107421875
10,fresh,4096,1.0,1.0,1.0,1.0,1.0,1.0,783,1.0,0.0
15,stale,4096,3.1081241416965346,1.210171564334008,1.1925743353530875,0.772216796875,0.777587890625,0.777587890625,874,0.0,0.0
15,isomer,4096,1.7363814965765298,1.0578509191271417,1.0639823600265812,0.892822265625,0.876953125,0.876953125,874,0.522883295194508,0.012939453125
15,oasis,4096,1.9136410148083567,1.0930188750208825,1.0737185293802611,0.857421875,0.87841796875,0.87841796875,874,0.5823798627002288,0.02392578125
15,oasis_projected,4096,1.6206322573201661,1.04760756908258,1.0509374004269791,0.901123046875,0.894287109375,0.894287109375,874,0.6430205949656751,0.020751953125
15,oasis_soft_projection,4096,1.5568935566306354,1.0382745621947824,1.0440139262780195,0.911376953125,0.901611328125,0.901611328125,874,0.6601830663615561,0.016845703125
15,hybrid,4096,1.5639722410372032,1.0404340230603235,1.0450390118564632,0.908447265625,0.899169921875,0.899169921875,874,0.6384439359267735,0.013916015625
15,aggressive_hybrid,4096,1.5645264199925741,1.0410318277344184,1.0457441063068673,0.90771484375,0.899169921875,0.899169921875,874,0.6350114416475973,0.013916015625
15,fresh,4096,1.0,1.0,1.0,1.0,1.0,1.0,874,1.0,0.0
20,stale,4096,3.170515182174258,1.2154273847185648,1.2040099257695749,0.76416015625,0.775146484375,0.775146484375,884,0.0,0.0
20,isomer,4096,1.7801915321895816,1.0616599899601622,1.0755888400919573,0.886962890625,0.87353515625,0.87353515625,884,0.501131221719457,0.010009765625
20,oasis,4096,1.8463543707017123,1.0829440841473905,1.0731382631857982,0.85986328125,0.88134765625,0.88134765625,884,0.6085972850678733,0.025634765625
20,oasis_projected,4096,1.5976146522386727,1.0534339530867807,1.0567512807615473,0.8935546875,0.8935546875,0.8935546875,884,0.6368778280542986,0.018798828125
20,oasis_soft_projection,4096,1.523207573649434,1.038841843892728,1.048671485285369,0.909423828125,0.903076171875,0.903076171875,884,0.6753393665158371,0.017578125
20,hybrid,4096,1.5401834458849464,1.0460475532941758,1.0466053307075034,0.900390625,0.9033203125,0.9033203125,884,0.6561085972850679,0.01318359375
20,aggressive_hybrid,4096,1.5361233789883493,1.0488077806468643,1.0455600502416764,0.8984375,0.904296875,0.904296875,884,0.6561085972850679,0.01220703125
20,fresh,4096,1.0,1.0,1.0,1.0,1.0,1.0,884,1.0,0.0
25,stale,4096,3.4022911405610956,1.2156198426377758,1.2294856722508736,0.765625,0.762939453125,0.762939453125,945,0.0,0.0
25,isomer,4096,1.757155559081703,1.0572874969848085,1.0683124022892672,0.890380859375,0.88623046875,0.88623046875,945,0.5841269841269842,0.011962890625
25,oasis,4096,1.9240549832904463,1.0815832824700127,1.0676274338261214,0.86328125,0.88232421875,0.88232421875,945,0.6275132275132275,0.024658203125
