config_id,drift_family,row_count,seed,family,method,n,row_qerr_gm,qerr_improvement_pct,beats_stale_qerr_frac,fresh_plan_match_frac,fresh_root_match_frac,fresh_scan_match_frac,fresh_join_match_frac,stale_fresh_changed_queries,plan_recovery_frac,new_plan_deviation_frac
left_shift_rows100000_seed20260529,left_shift,100000,20260529,all,stale,84,35.24602033631592,0.0,0.0,0.5,0.5833333333333334,0.5,0.6666666666666666,42,0.0,0.0
left_shift_rows100000_seed20260529,left_shift,100000,20260529,all,isomer,84,1.9708898269695634,94.40819188049198,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,42,0.9523809523809523,0.0
left_shift_rows100000_seed20260529,left_shift,100000,20260529,all,oasis,84,2.949379287682551,91.63202182958612,0.9285714285714286,0.9166666666666666,0.9285714285714286,0.9166666666666666,0.9404761904761905,42,0.9523809523809523,0.11904761904761904
left_shift_rows100000_seed20260529,left_shift,100000,20260529,all,oasis_projected,84,2.0263195360247215,94.25092672395444,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,42,0.9523809523809523,0.0
left_shift_rows100000_seed20260529,left_shift,100000,20260529,all,hybrid,84,2.0092464191905695,94.29936656672602,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,42,0.9523809523809523,0.0
left_shift_rows100000_seed20260529,left_shift,100000,20260529,all,aggressive_hybrid,84,2.020567674685662,94.2672459034935,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,42,0.9523809523809523,0.0
left_shift_rows100000_seed20260529,left_shift,100000,20260529,all,fresh,84,1.333680755464982,96.21608129729525,1.0,1.0,1.0,1.0,1.0,42,1.0,0.0
left_shift_rows100000_seed20260529,left_shift,100000,20260529,scan,stale,28,36.042946579978334,0.0,0.0,0.75,0.75,0.75,1.0,7,0.0,0.0
left_shift_rows100000_seed20260529,left_shift,100000,20260529,scan,isomer,28,2.0443585692852837,94.32799267743299,0.9642857142857143,1.0,1.0,1.0,1.0,7,1.0,0.0
left_shift_rows100000_seed20260529,left_shift,100000,20260529,scan,oasis,28,3.0201004131676985,91.62082820707742,0.9285714285714286,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,7,1.0,0.047619047619047616
