family,method,n,row_qerr_gm,qerr_improvement_pct,beats_stale_qerr_frac,fresh_plan_match_frac,fresh_root_match_frac,fresh_scan_match_frac,fresh_join_match_frac,stale_fresh_changed_queries,plan_recovery_frac,new_plan_deviation_frac
all,stale,84,33.951758672312536,0.0,0.0,0.5119047619047619,0.5952380952380952,0.5119047619047619,0.6785714285714286,41,0.0,0.0
all,isomer,84,2.117583495965184,93.76296374982171,1.0,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,41,0.9512195121951219,0.0
all,oasis,84,3.1391496818675035,90.75408813968903,0.9285714285714286,0.9166666666666666,0.9285714285714286,0.9166666666666666,0.9404761904761905,41,0.9512195121951219,0.11627906976744186
all,oasis_projected,84,2.137029104711983,93.70568951865602,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,41,0.9512195121951219,0.0
all,hybrid,84,2.1263611299498044,93.73711049706583,1.0,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,41,0.9512195121951219,0.0
all,aggressive_hybrid,84,2.1183641636899067,93.76066440582525,1.0,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,41,0.9512195121951219,0.0
all,fresh,84,1.4232178674891978,95.80811739024928,1.0,1.0,1.0,1.0,1.0,41,1.0,0.0
scan,stale,28,34.783276975615706,0.0,0.0,0.75,0.75,0.75,1.0,7,0.0,0.0
scan,isomer,28,2.1585757554790868,93.79421393506908,1.0,1.0,1.0,1.0,1.0,7,1.0,0.0
scan,oasis,28,3.2210506942111747,90.7396571735629,0.9285714285714286,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,7,1.0,0.047619047619047616
scan,oasis_projected,28,2.1793182871926913,93.73458030213637,0.9642857142857143,1.0,1.0,1.0,1.0,7,1.0,0.0
scan,hybrid,28,2.166251018476521,93.77214797790576,1.0,1.0,1.0,1.0,1.0,7,1.0,0.0
scan,aggressive_hybrid,28,2.158503927967083,93.79442043519859,1.0,1.0,1.0,1.0,1.0,7,1.0,0.0
scan,fresh,28,1.4502490047023446,95.83061421809388,1.0,1.0,1.0,1.0,1.0,7,1.0,0.0
join,stale,28,34.783276975615706,0.0,0.0,0.21428571428571427,0.4642857142857143,0.21428571428571427,0.4642857142857143,22,0.0,0.0
join,isomer,28,2.1585757554790868,93.79421393506908,1.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,22,0.9090909090909091,0.0
join,oasis,28,3.2210506942111747,90.7396571735629,0.9285714285714286,0.8928571428571429,0.9285714285714286,0.8928571428571429,0.9285714285714286,22,0.9090909090909091,0.16666666666666666
join,oasis_projected,28,2.1793182871926913,93.73458030213637,0.9642857142857143,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,22,0.9090909090909091,0.0
join,hybrid,28,2.166251018476521,93.77214797790576,1.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,22,0.9090909090909091,0.0
join,aggressive_hybrid,28,2.158503927967083,93.79442043519859,1.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,22,0.9090909090909091,0.0
join,fresh,28,1.4502490047023446,95.83061421809388,1.0,1.0,1.0,1.0,1.0,22,1.0,0.0
join_dim_filter,stale,28,32.34788092902559,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,12,0.0,0.0
join_dim_filter,isomer,28,2.037919574287007,93.69999049162324,1.0,1.0,1.0,1.0,1.0,12,1.0,0.0
join_dim_filter,oasis,28,2.981542148384279,90.78288264098019,0.9285714285714286,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,12,1.0,0.1875
join_dim_filter,oasis_projected,28,2.0548966522550263,93.6475076782814,1.0,1.0,1.0,1.0,1.0,12,1.0,0.0
join_dim_filter,hybrid,28,2.0487714540274884,93.66644307080674,1.0,1.0,1.0,1.0,1.0,12,1.0,0.0
join_dim_filter,aggressive_hybrid,28,2.0403100839339294,93.69260048777053,1.0,1.0,1.0,1.0,1.0,12,1.0,0.0
join_dim_filter,fresh,28,1.3706576992311423,95.76275892000933,1.0,1.0,1.0,1.0,1.0,12,1.0,0.0
