family,method,n_configs,row_qerr_gm_mean,row_qerr_gm_std,qerr_improvement_pct_mean,qerr_improvement_pct_std,fresh_plan_match_frac_mean,fresh_plan_match_frac_std,plan_recovery_frac_mean,plan_recovery_frac_std,new_plan_deviation_frac_mean,new_plan_deviation_frac_std,stale_fresh_changed_queries_mean
all,stale,12,28.435932389762925,6.5851611471502185,0.0,0.0,0.5595238095238094,0.054672428313052315,0.0,0.0,0.0,0.0,37.0
all,isomer,12,2.3715337824859293,0.2827003499289611,91.07763916818016,2.8708571804771807,0.9613095238095237,0.01907803307771017,0.9220004288700197,0.03908477785635369,0.009742261684548033,0.010177498289315032,37.0
all,oasis,12,3.3134930792553594,0.22781678851150214,87.6763281816644,3.2874261661318647,0.8859126984126985,0.02707971567738747,0.9139163212432292,0.03219905824045457,0.1365495401692263,0.020306881710577082,37.0
all,oasis_projected,12,2.374939277161638,0.2751617879340493,91.0717168141836,2.841233589303058,0.9613095238095237,0.01907803307771017,0.9220004288700197,0.03908477785635369,0.009742261684548033,0.010177498289315032,37.0
all,hybrid,12,2.3741533304699822,0.2856257616220766,91.06802221318573,2.8759642041558076,0.9613095238095237,0.01907803307771017,0.9220004288700197,0.03908477785635369,0.009742261684548033,0.010177498289315032,37.0
all,fresh,12,1.4150086480896427,0.09472806289024084,94.80969466358111,1.0776379431734666,1.0,0.0,1.0,0.0,0.0,0.0,37.0
scan,stale,12,29.30275814792017,6.521627871008744,0.0,0.0,0.7172619047619048,0.035578747139129334,0.0,0.0,0.0,0.0,7.916666666666667
scan,isomer,12,2.418658292773372,0.2902529590688552,91.22110136829353,2.722016232970611,0.9851190476190476,0.018390308948015608,0.9537037037037037,0.05721429450493749,0.0,0.0,7.916666666666667
scan,oasis,12,3.376206912109732,0.23544383094987778,87.87541004480703,3.0941898069948977,0.9315476190476191,0.035578747139129334,0.9537037037037037,0.05721429450493749,0.07600250626566415,0.029680928561167483,7.916666666666667
scan,oasis_projected,12,2.421482577817464,0.28042403598975707,91.2177458137752,2.6878493304867,0.9851190476190476,0.018390308948015608,0.9537037037037037,0.05721429450493749,0.0,0.0,7.916666666666667
scan,hybrid,12,2.420708758148483,0.29250904866139815,91.21360116377231,2.727156102662647,0.9851190476190476,0.018390308948015608,0.9537037037037037,0.05721429450493749,0.0,0.0,7.916666666666667
scan,fresh,12,1.427583953827069,0.10326390966688327,94.94783553598778,0.9585984495063576,1.0,0.0,1.0,0.0,0.0,0.0,7.916666666666667
join,stale,12,29.30275814792017,6.521627871008744,0.0,0.0,0.3601190476190476,0.14643121104156576,0.0,0.0,0.0,0.0,17.916666666666668
join,isomer,12,2.418658292773372,0.2902529590688552,91.22110136829353,2.722016232970611,0.9226190476190476,0.03347988809146756,0.898088023088023,0.045538408921347855,0.03571428571428571,0.03730235484764954,17.916666666666668
join,oasis,12,3.376206912109732,0.23544383094987778,87.87541004480703,3.0941898069948977,0.8541666666666666,0.03557874713912939,0.878968253968254,0.025915885560937775,0.1884920634920635,0.027726194116221785,17.916666666666668
join,oasis_projected,12,2.421482577817464,0.28042403598975707,91.2177458137752,2.6878493304867,0.9226190476190476,0.03347988809146756,0.898088023088023,0.045538408921347855,0.03571428571428571,0.03730235484764954,17.916666666666668
join,hybrid,12,2.420708758148483,0.29250904866139815,91.21360116377231,2.727156102662647,0.9226190476190476,0.03347988809146756,0.898088023088023,0.045538408921347855,0.03571428571428571,0.03730235484764954,17.916666666666668
join,fresh,12,1.427583953827069,0.10326390966688327,94.94783553598778,0.9585984495063576,1.0,0.0,1.0,0.0,0.0,0.0,17.916666666666668
join_dim_filter,stale,12,26.795808411889894,6.735461740416918,0.0,0.0,0.6011904761904762,0.05238587147307773,0.0,0.0,0.0,0.0,11.166666666666666
join_dim_filter,isomer,12,2.2806832391714886,0.2737011822778687,90.77898570190801,3.1832225069196465,0.9761904761904763,0.01758449871133324,0.9391025641025642,0.045973813597182236,0.0,0.0,11.166666666666666
join_dim_filter,oasis,12,3.1922831370210307,0.22516087021906317,87.2625795710983,3.6941434563823488,0.8720238095238094,0.018390308948015664,0.9455128205128206,0.04881140588112377,0.17947733918128653,0.01579126184200862,11.166666666666666
join_dim_filter,oasis_projected,12,2.2851967281255745,0.2707178635042691,90.76743796787288,3.1628214444986797,0.9761904761904763,0.01758449871133324,0.9391025641025642,0.045973813597182236,0.0,0.0,11.166666666666666
join_dim_filter,hybrid,12,2.2843434789226618,0.2775174648816177,90.76509652790996,3.187752295402161,0.9761904761904763,0.01758449871133324,0.9391025641025642,0.045973813597182236,0.0,0.0,11.166666666666666
join_dim_filter,fresh,12,1.3908754450836351,0.08884471231160662,94.51467451961503,1.3423299529845196,1.0,0.0,1.0,0.0,0.0,0.0,11.166666666666666
