config_id,seed,row_count,dim_rows,drift_family,query_id,family,predicate_id,predicate_type,value,value_upper,true_rows,method,plan_rows,row_qerr,total_cost,startup_cost,root_node,scan_nodes,join_nodes,plan_signature
left_shift_rows100000_seed20260529,20260529,100000,6000,left_shift,scan:le_0.006,scan,le_0.006,<=,0.0028011700419586874,,254,stale,9.0,28.22222222222222,14.96,1.86,Bitmap Heap Scan,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx,,[Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx]
left_shift_rows100000_seed20260529,20260529,100000,6000,left_shift,join:le_0.006,join,le_0.006,<=,0.0028011700419586874,,254,stale,9.0,28.22222222222222,43.16,2.14,Nested Loop,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Index Scan:dim:dim_pkey,Nested Loop:Inner,[Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Index Scan;Relation Name=dim;Index Name=dim_pkey]
left_shift_rows100000_seed20260529,20260529,100000,6000,left_shift,join_dim_filter:le_0.006,join_dim_filter,le_0.006,<=,0.0028011700419586874,,48,stale,1.0,48.0,43.19,2.14,Nested Loop,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Index Scan:dim:dim_pkey,Nested Loop:Inner,[Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Index Scan;Relation Name=dim;Index Name=dim_pkey]
left_shift_rows100000_seed20260529,20260529,100000,6000,left_shift,scan:le_0.012,scan,le_0.012,<=,0.005602340083917375,,639,stale,17.0,37.588235294117645,26.3,1.92,Bitmap Heap Scan,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx,,[Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx]
left_shift_rows100000_seed20260529,20260529,100000,6000,left_shift,join:le_0.012,join,le_0.012,<=,0.005602340083917375,,639,stale,17.0,37.588235294117645,71.9,2.21,Nested Loop,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Index Scan:dim:dim_pkey,Nested Loop:Inner,[Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Index Scan;Relation Name=dim;Index Name=dim_pkey]
left_shift_rows100000_seed20260529,20260529,100000,6000,left_shift,join_dim_filter:le_0.012,join_dim_filter,le_0.012,<=,0.005602340083917375,,114,stale,3.0,38.0,71.95,2.21,Nested Loop,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Index Scan:dim:dim_pkey,Nested Loop:Inner,[Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Index Scan;Relation Name=dim;Index Name=dim_pkey]
left_shift_rows100000_seed20260529,20260529,100000,6000,left_shift,scan:le_0.025,scan,le_0.025,<=,0.01167154184149453,,1665,stale,34.0,48.970588235294116,49.7,2.06,Bitmap Heap Scan,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx,,[Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx]
left_shift_rows100000_seed20260529,20260529,100000,6000,left_shift,join:le_0.025,join,le_0.025,<=,0.01167154184149453,,1665,stale,34.0,48.970588235294116,122.9,2.34,Nested Loop,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Index Scan:dim:dim_pkey,Nested Loop:Inner,[Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Index Scan;Relation Name=dim;Index Name=dim_pkey]
left_shift_rows100000_seed20260529,20260529,100000,6000,left_shift,join_dim_filter:le_0.025,join_dim_filter,le_0.025,<=,0.01167154184149453,,263,stale,5.0,52.6,122.99,2.34,Nested Loop,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Index Scan:dim:dim_pkey,Nested Loop:Inner,[Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Index Scan;Relation Name=dim;Index Name=dim_pkey]
left_shift_rows100000_seed20260529,20260529,100000,6000,left_shift,scan:le_0.045,scan,le_0.045,<=,0.021008775314690153,,3584,stale,60.0,59.733333333333334,81.59,2.26,Bitmap Heap Scan,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx,,[Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx]
left_shift_rows100000_seed20260529,20260529,100000,6000,left_shift,join:le_0.045,join,le_0.045,<=,0.021008775314690153,,3584,stale,60.0,59.733333333333334,180.59,2.54,Nested Loop,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Index Scan:dim:dim_pkey,Nested Loop:Inner,[Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Index Scan;Relation Name=dim;Index Name=dim_pkey]
left_shift_rows100000_seed20260529,20260529,100000,6000,left_shift,join_dim_filter:le_0.045,join_dim_filter,le_0.045,<=,0.021008775314690153,,548,stale,9.0,60.888888888888886,154.5,75.02,Hash Join,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Bitmap Heap Scan:dim|Bitmap Index Scan:dim_payload_idx,Hash Join:Inner,[Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Hash][Bitmap Heap Scan;Relation Name=dim][Bitmap Index Scan;Index Name=dim_payload_idx]
left_shift_rows100000_seed20260529,20260529,100000,6000,left_shift,scan:le_0.075,scan,le_0.075,<=,0.03501462552448359,,6892,stale,100.0,68.92,127.44,2.57,Bitmap Heap Scan,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx,,[Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx]
left_shift_rows100000_seed20260529,20260529,100000,6000,left_shift,join:le_0.075,join,le_0.075,<=,0.03501462552448359,,6892,stale,100.0,68.92,245.95,2.85,Nested Loop,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Index Scan:dim:dim_pkey,Nested Loop:Inner,[Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Index Scan;Relation Name=dim;Index Name=dim_pkey]
left_shift_rows100000_seed20260529,20260529,100000,6000,left_shift,join_dim_filter:le_0.075,join_dim_filter,le_0.075,<=,0.03501462552448359,,1035,stale,15.0,69.0,200.46,75.33,Hash Join,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Bitmap Heap Scan:dim|Bitmap Index Scan:dim_payload_idx,Hash Join:Inner,[Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Hash][Bitmap Heap Scan;Relation Name=dim][Bitmap Index Scan;Index Name=dim_payload_idx]
left_shift_rows100000_seed20260529,20260529,100000,6000,left_shift,scan:le_0.11,scan,le_0.11,<=,0.05041438118249976,,10946,stale,144.0,76.01388888888889,172.63,2.91,Bitmap Heap Scan,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx,,[Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx]
