config_id,seed,row_count,dim_rows,drift_family,query_id,family,predicate_id,predicate_type,value,value_upper,true_rows,method,plan_rows,row_qerr,total_cost,startup_cost,root_node,scan_nodes,join_nodes,plan_signature
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,scan:le_0.006,scan,le_0.006,<=,0.002772653983969139,,480,stale,17.0,28.235294117647058,26.8,2.05,Bitmap Heap Scan,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx,,[Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,join:le_0.006,join,le_0.006,<=,0.002772653983969139,,480,stale,17.0,28.235294117647058,76.95,2.34,Nested Loop,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Index Scan:dim:dim_pkey,Nested Loop:Inner,[Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Index Scan;Relation Name=dim;Index Name=dim_pkey]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,join_dim_filter:le_0.006,join_dim_filter,le_0.006,<=,0.002772653983969139,,79,stale,3.0,26.333333333333332,76.99,2.34,Nested Loop,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Index Scan:dim:dim_pkey,Nested Loop:Inner,[Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Index Scan;Relation Name=dim;Index Name=dim_pkey]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,scan:le_0.012,scan,le_0.012,<=,0.005545307967938278,,1265,stale,33.0,38.333333333333336,49.49,2.18,Bitmap Heap Scan,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx,,[Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,join:le_0.012,join,le_0.012,<=,0.005545307967938278,,1265,stale,33.0,38.333333333333336,135.97,2.46,Nested Loop,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Index Scan:dim:dim_pkey,Nested Loop:Inner,[Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Index Scan;Relation Name=dim;Index Name=dim_pkey]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,join_dim_filter:le_0.012,join_dim_filter,le_0.012,<=,0.005545307967938278,,214,stale,5.0,42.8,136.05,2.46,Nested Loop,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Index Scan:dim:dim_pkey,Nested Loop:Inner,[Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Index Scan;Relation Name=dim;Index Name=dim_pkey]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,scan:le_0.025,scan,le_0.025,<=,0.011552724933204746,,3278,stale,67.0,48.92537313432836,94.92,2.44,Bitmap Heap Scan,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx,,[Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,join:le_0.025,join,le_0.025,<=,0.011552724933204746,,3278,stale,67.0,48.92537313432836,239.69,2.72,Nested Loop,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Index Scan:dim:dim_pkey,Nested Loop:Inner,[Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Index Scan;Relation Name=dim;Index Name=dim_pkey]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,join_dim_filter:le_0.025,join_dim_filter,le_0.025,<=,0.011552724933204746,,494,stale,10.0,49.4,239.86,2.72,Nested Loop,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Index Scan:dim:dim_pkey,Nested Loop:Inner,[Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Index Scan;Relation Name=dim;Index Name=dim_pkey]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,scan:le_0.045,scan,le_0.045,<=,0.020794904879768542,,7194,stale,120.0,59.95,159.93,2.85,Bitmap Heap Scan,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx,,[Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,join:le_0.045,join,le_0.045,<=,0.020794904879768542,,7194,stale,120.0,59.95,352.23,3.13,Nested Loop,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Index Scan:dim:dim_pkey,Nested Loop:Inner,[Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Index Scan;Relation Name=dim;Index Name=dim_pkey]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,join_dim_filter:le_0.045,join_dim_filter,le_0.045,<=,0.020794904879768542,,1092,stale,18.0,60.666666666666664,303.98,146.59,Hash Join,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Bitmap Heap Scan:dim|Bitmap Index Scan:dim_payload_idx,Hash Join:Inner,[Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Hash][Bitmap Heap Scan;Relation Name=dim][Bitmap Index Scan;Index Name=dim_payload_idx]
