family,method,n,changed,fresh_plan_match_frac,plan_recovery_frac,new_plan_deviation_frac
scan,stale,336,95,0.7172619047619048,0.0,0.0
scan,oasis,336,95,0.9315476190476191,0.9473684210526315,0.07468879668049792
scan,isomer,336,95,0.9851190476190477,0.9473684210526315,0.0
scan,oasis_projected,336,95,0.9851190476190477,0.9473684210526315,0.0
scan,hybrid,336,95,0.9851190476190477,0.9473684210526315,0.0
join,stale,336,215,0.3601190476190476,0.0,0.0
join,oasis,336,215,0.8541666666666666,0.8837209302325582,0.19834710743801653
join,isomer,336,215,0.9226190476190477,0.9069767441860465,0.049586776859504134
join,oasis_projected,336,215,0.9226190476190477,0.9069767441860465,0.049586776859504134
join,hybrid,336,215,0.9226190476190477,0.9069767441860465,0.049586776859504134
join_dim_filter,stale,336,134,0.6011904761904762,0.0,0.0
join_dim_filter,oasis,336,134,0.8720238095238095,0.9477611940298507,0.1782178217821782
join_dim_filter,isomer,336,134,0.9761904761904762,0.9402985074626866,0.0
join_dim_filter,oasis_projected,336,134,0.9761904761904762,0.9402985074626866,0.0
join_dim_filter,hybrid,336,134,0.9761904761904762,0.9402985074626866,0.0
