subset,method,n_queries,total_median_ms,geomean_ratio_vs_stale,geomean_ratio_vs_fresh,n_regressions_gt15pct_vs_stale
all,stale,84,9894.848,1.0,1.1336,0
all,isomer,84,11466.995,1.019,1.1552,29
all,oasis,84,9721.526,0.8851,1.0033,22
all,oasis_projected,84,13136.655,1.0849,1.2299,33
all,oasis_soft_projection,84,10738.987,1.0063,1.1407,30
all,hybrid,84,10176.202,0.9466,1.0731,21
all,aggressive_hybrid,84,9986.373,0.95,1.077,23
all,calibrated_hybrid,84,10102.912,0.9598,1.088,24
all,fresh,84,10158.23,0.8821,1.0,22
plan_change,stale,54,8011.525,1.0,1.2064,0
plan_change,isomer,54,9349.199,1.0059,1.2135,23
plan_change,oasis,54,8002.643,0.8587,1.0359,17
plan_change,oasis_projected,54,9987.271,1.0411,1.2559,23
plan_change,oasis_soft_projection,54,8744.239,0.9846,1.1878,22
plan_change,hybrid,54,8306.812,0.9277,1.1192,21
plan_change,aggressive_hybrid,54,8114.756,0.9311,1.1232,23
plan_change,calibrated_hybrid,54,8218.8,0.9373,1.1307,23
plan_change,fresh,54,8268.787,0.8289,1.0,22
plan_stable,stale,30,1883.323,1.0,1.0135,0
plan_stable,isomer,30,2117.796,1.0431,1.0572,6
plan_stable,oasis,30,1718.883,0.9347,0.9473,5
plan_stable,oasis_projected,30,3149.384,1.1686,1.1844,10
plan_stable,oasis_soft_projection,30,1994.748,1.0464,1.0605,8
plan_stable,hybrid,30,1869.39,0.9816,0.9948,0
plan_stable,aggressive_hybrid,30,1871.617,0.9852,0.9985,0
plan_stable,calibrated_hybrid,30,1884.112,1.0018,1.0153,1
plan_stable,fresh,30,1889.443,0.9867,1.0,0
