query,method,target_col,scan_true_rows,scan_est_rows,scan_row_qerr,plan_signature,plan_changed_vs_stale_fresh,median_ms,min_ms,iqr_ms,n_runs
Q6_lineitem_revenue,stale,l_shipdate,9126278,395707.0,23.06322101959278,[Aggregate][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx],False,4300.625,4296.099,102.77399999999943,3
Q14_promo_part_join,stale,l_shipdate,746987,32435.0,23.030275936488362,[Aggregate][Nested Loop;Join Type=Inner][Index Scan;Relation Name=lineitem;Index Name=l_shipdate_idx][Index Scan;Relation Name=part;Index Name=part_pkey],True,2977.935,2967.345,12.610000000000127,3
Q12_shipmode_orders_join,stale,l_shipdate,9126278,395707.0,23.06322101959278,[Aggregate][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Only Scan;Relation Name=orders;Index Name=orders_pkey],False,12165.099,11907.253,439.35399999999936,3
Q4_order_priority,stale,o_orderdate,574420,25070.0,22.912644595133624,[Aggregate][Sort][Nested Loop;Join Type=Semi][Bitmap Heap Scan;Relation Name=orders][Bitmap Index Scan;Index Name=o_orderdate_idx][Index Scan;Relation Name=lineitem;Index Name=l_orderkey_idx],False,2257.114,2209.004,127.08699999999999,3
Q3_3way_join,stale,o_orderdate,18499054,19502770.0,1.0542576933934027,[Limit][Sort][Aggregate][Hash Join;Join Type=Inner][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Scan;Relation Name=orders;Index Name=orders_pkey][Hash][Seq Scan;Relation Name=customer],False,20119.992,19843.332,450.56800000000294,3
Q1_pricing_scan,stale,l_shipdate,77997477,78188714.0,1.0024518357177117,[Aggregate][Seq Scan;Relation Name=lineitem],False,24860.668,24380.093,1047.3060000000005,3
Q6_lineitem_revenue,isomer,l_shipdate,9126278,8568422.0,1.065106037027588,[Aggregate][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx],False,4340.411,4030.274,408.51099999999997,3
Q14_promo_part_join,isomer,l_shipdate,746987,834416.0,1.1170421975215097,[Aggregate][Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Hash][Seq Scan;Relation Name=part],True,1808.505,1804.809,166.26299999999992,3
Q12_shipmode_orders_join,isomer,l_shipdate,9126278,8568422.0,1.065106037027588,[Aggregate][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Only Scan;Relation Name=orders;Index Name=orders_pkey],False,12167.79,11604.214,620.9869999999992,3
Q4_order_priority,isomer,o_orderdate,574420,614625.0,1.0699923400995788,[Aggregate][Sort][Nested Loop;Join Type=Semi][Bitmap Heap Scan;Relation Name=orders][Bitmap Index Scan;Index Name=o_orderdate_idx][Index Scan;Relation Name=lineitem;Index Name=l_orderkey_idx],False,2408.472,2406.103,106.41300000000001,3
Q3_3way_join,isomer,o_orderdate,18499054,18514533.0,1.0008367454897964,[Limit][Sort][Aggregate][Hash Join;Join Type=Inner][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Scan;Relation Name=orders;Index Name=orders_pkey][Hash][Seq Scan;Relation Name=customer],False,20403.131,19639.452,1187.9039999999986,3
Q1_pricing_scan,isomer,l_shipdate,77997477,77251946.0,1.0096506436226216,[Aggregate][Seq Scan;Relation Name=lineitem],False,24426.972,24397.753,51.602999999999156,3
Q6_lineitem_revenue,oasis,l_shipdate,9126278,3566287.0,2.5590419391372596,[Aggregate][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx],False,4496.119,4467.44,105.11400000000049,3
Q14_promo_part_join,oasis,l_shipdate,746987,300333.0,2.4871958792407094,[Aggregate][Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Hash][Seq Scan;Relation Name=part],True,1808.702,1806.322,135.38500000000022,3
Q12_shipmode_orders_join,oasis,l_shipdate,9126278,3566287.0,2.5590419391372596,[Aggregate][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Only Scan;Relation Name=orders;Index Name=orders_pkey],False,12251.894,11676.279,658.5910000000003,3
Q4_order_priority,oasis,o_orderdate,574420,230606.0,2.490915240713598,[Aggregate][Sort][Nested Loop;Join Type=Semi][Bitmap Heap Scan;Relation Name=orders][Bitmap Index Scan;Index Name=o_orderdate_idx][Index Scan;Relation Name=lineitem;Index Name=l_orderkey_idx],False,2478.912,2285.351,412.7439999999997,3
Q3_3way_join,oasis,o_orderdate,18499054,19102846.0,1.032639074408886,[Limit][Sort][Aggregate][Hash Join;Join Type=Inner][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Scan;Relation Name=orders;Index Name=orders_pkey][Hash][Seq Scan;Relation Name=customer],False,20076.677,19785.017,453.5980000000018,3
Q1_pricing_scan,oasis,l_shipdate,77997477,77812526.0,1.0023768795270829,[Aggregate][Seq Scan;Relation Name=lineitem],False,24381.077,24345.679,90.76699999999983,3
Q6_lineitem_revenue,oasis_projected,l_shipdate,9126278,7473737.0,1.2211130790393079,[Aggregate][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx],False,4579.017,4452.772,331.7960000000003,3
Q14_promo_part_join,oasis_projected,l_shipdate,746987,593485.0,1.2586451216121721,[Aggregate][Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Hash][Seq Scan;Relation Name=part],True,1850.041,1809.341,123.31800000000021,3
Q12_shipmode_orders_join,oasis_projected,l_shipdate,9126278,7473737.0,1.2211130790393079,[Aggregate][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Only Scan;Relation Name=orders;Index Name=orders_pkey],False,12491.91,12229.613,550.6509999999998,3
Q4_order_priority,oasis_projected,o_orderdate,574420,554141.0,1.036595379154403,[Aggregate][Sort][Nested Loop;Join Type=Semi][Bitmap Heap Scan;Relation Name=orders][Bitmap Index Scan;Index Name=o_orderdate_idx][Index Scan;Relation Name=lineitem;Index Name=l_orderkey_idx],False,2369.227,2333.993,188.88599999999997,3
Q3_3way_join,oasis_projected,o_orderdate,18499054,18476795.0,1.0012047002740465,[Limit][Sort][Aggregate][Hash Join;Join Type=Inner][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Scan;Relation Name=orders;Index Name=orders_pkey][Hash][Seq Scan;Relation Name=customer],False,20235.812,20212.555,377.2900000000009,3
Q1_pricing_scan,oasis_projected,l_shipdate,77997477,77335526.0,1.0085594685164487,[Aggregate][Seq Scan;Relation Name=lineitem],False,24467.466,24424.103,405.3889999999992,3
Q6_lineitem_revenue,calibrated_hybrid,l_shipdate,9126278,8276277.0,1.1027033048797183,[Aggregate][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx],False,4530.888,4256.905,418.5740000000005,3
Q14_promo_part_join,calibrated_hybrid,l_shipdate,746987,754760.0,1.0104058035815884,[Aggregate][Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Hash][Seq Scan;Relation Name=part],True,1797.197,1783.237,293.7109999999998,3
Q12_shipmode_orders_join,calibrated_hybrid,l_shipdate,9126278,8276277.0,1.1027033048797183,[Aggregate][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Only Scan;Relation Name=orders;Index Name=orders_pkey],False,12240.766,11792.632,536.2890000000007,3
Q4_order_priority,calibrated_hybrid,o_orderdate,574420,602009.0,1.0480293165279762,[Aggregate][Sort][Nested Loop;Join Type=Semi][Bitmap Heap Scan;Relation Name=orders][Bitmap Index Scan;Index Name=o_orderdate_idx][Index Scan;Relation Name=lineitem;Index Name=l_orderkey_idx],False,2331.472,2322.514,37.034999999999854,3
Q3_3way_join,calibrated_hybrid,o_orderdate,18499054,18477200.0,1.0011827549628731,[Limit][Sort][Aggregate][Hash Join;Join Type=Inner][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Scan;Relation Name=orders;Index Name=orders_pkey][Hash][Seq Scan;Relation Name=customer],False,20016.533,19717.473,451.36699999999837,3
Q1_pricing_scan,calibrated_hybrid,l_shipdate,77997477,77245999.0,1.0097283744106929,[Aggregate][Seq Scan;Relation Name=lineitem],False,25345.159,24392.885,1514.7750000000015,3
