query,method,target_col,scan_true_rows,scan_est_rows,scan_row_qerr,plan_signature,plan_changed_vs_stale_fresh,median_ms,min_ms,iqr_ms,n_runs
Q6_lineitem_revenue,stale,l_shipdate,6775897,302893.0,22.370596217145987,[Aggregate][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx],False,3757.369,3230.734,2167.0850000000005,3
Q14_promo_part_join,stale,l_shipdate,10676,24827.0,2.3254964406144625,[Aggregate][Nested Loop;Join Type=Inner][Index Scan;Relation Name=lineitem;Index Name=l_shipdate_idx][Index Scan;Relation Name=part;Index Name=part_pkey],True,139.909,118.694,54.43599999999999,3
Q12_shipmode_orders_join,stale,l_shipdate,6775897,302893.0,22.370596217145987,[Aggregate][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Only Scan;Relation Name=orders;Index Name=orders_pkey],False,9267.493,8137.702,1543.9389999999994,3
Q4_order_priority,stale,o_orderdate,432802,19133.0,22.62070767783411,[Aggregate][Sort][Nested Loop;Join Type=Semi][Bitmap Heap Scan;Relation Name=orders][Bitmap Index Scan;Index Name=o_orderdate_idx][Index Scan;Relation Name=lineitem;Index Name=l_orderkey_idx],False,1454.123,1212.492,398.905,3
Q3_3way_join,stale,o_orderdate,13880826,14776131.0,1.0644994037098368,[Limit][Sort][Aggregate][Hash Join;Join Type=Inner][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Scan;Relation Name=orders;Index Name=orders_pkey][Hash][Seq Scan;Relation Name=customer],False,18016.434,16047.883,2648.474,3
Q1_pricing_scan,stale,l_shipdate,59326279,59430444.0,1.0017557986402619,[Aggregate][Seq Scan;Relation Name=lineitem],False,27737.918,26734.095,1165.8869999999988,3
Q6_lineitem_revenue,isomer,l_shipdate,6775897,5081805.0,1.3333642278678541,[Aggregate][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx],False,3647.358,3328.064,474.74900000000025,3
Q14_promo_part_join,isomer,l_shipdate,10676,272019.0,25.479486699138253,[Aggregate][Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Hash][Seq Scan;Relation Name=part],True,1184.29,1072.281,233.53600000000006,3
Q12_shipmode_orders_join,isomer,l_shipdate,6775897,5081805.0,1.3333642278678541,[Aggregate][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Only Scan;Relation Name=orders;Index Name=orders_pkey],False,10065.028,7495.66,2928.679,3
Q4_order_priority,isomer,o_orderdate,432802,218434.0,1.9813856817162163,[Aggregate][Sort][Nested Loop;Join Type=Semi][Bitmap Heap Scan;Relation Name=orders][Bitmap Index Scan;Index Name=o_orderdate_idx][Index Scan;Relation Name=lineitem;Index Name=l_orderkey_idx],False,1471.652,1139.302,1008.1009999999999,3
Q3_3way_join,isomer,o_orderdate,13880826,13803378.0,1.0056108004866635,[Limit][Sort][Aggregate][Hash Join;Join Type=Inner][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Scan;Relation Name=orders;Index Name=orders_pkey][Hash][Seq Scan;Relation Name=customer],False,16416.132,15606.59,1796.9310000000005,3
Q1_pricing_scan,isomer,l_shipdate,59326279,58550549.0,1.0132488937037978,[Aggregate][Seq Scan;Relation Name=lineitem],False,26371.713,25084.732,2776.441999999999,3
Q6_lineitem_revenue,oasis,l_shipdate,6775897,2358927.0,2.8724487870968454,[Aggregate][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx],False,4159.661,3417.464,814.7870000000003,3
Q14_promo_part_join,oasis,l_shipdate,10676,184259.0,17.25917946796553,[Aggregate][Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Hash][Seq Scan;Relation Name=part],True,1092.25,904.272,305.43500000000006,3
Q12_shipmode_orders_join,oasis,l_shipdate,6775897,2358927.0,2.8724487870968454,[Aggregate][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Only Scan;Relation Name=orders;Index Name=orders_pkey],False,8226.679,8169.379,976.1979999999994,3
Q4_order_priority,oasis,o_orderdate,432802,156867.0,2.7590379110966614,[Aggregate][Sort][Nested Loop;Join Type=Semi][Bitmap Heap Scan;Relation Name=orders][Bitmap Index Scan;Index Name=o_orderdate_idx][Index Scan;Relation Name=lineitem;Index Name=l_orderkey_idx],False,1652.213,1449.881,311.182,3
Q3_3way_join,oasis,o_orderdate,13880826,14536440.0,1.047231627282123,[Limit][Sort][Aggregate][Hash Join;Join Type=Inner][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Scan;Relation Name=orders;Index Name=orders_pkey][Hash][Seq Scan;Relation Name=customer],False,16136.09,14785.627,3882.756000000001,3
Q1_pricing_scan,oasis,l_shipdate,59326279,59172692.0,1.0025955722954094,[Aggregate][Seq Scan;Relation Name=lineitem],False,24985.809,24857.284,3388.6870000000017,3
Q6_lineitem_revenue,oasis_projected,l_shipdate,6775897,5285291.0,1.282029125737826,[Aggregate][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx],False,3568.529,2868.809,798.7279999999996,3
Q14_promo_part_join,oasis_projected,l_shipdate,10676,285178.0,26.71206444361184,[Aggregate][Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Hash][Seq Scan;Relation Name=part],True,855.604,840.887,175.70000000000005,3
Q12_shipmode_orders_join,oasis_projected,l_shipdate,6775897,5285291.0,1.282029125737826,[Aggregate][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Only Scan;Relation Name=orders;Index Name=orders_pkey],False,11215.79,9293.612,2223.491,3
Q4_order_priority,oasis_projected,o_orderdate,432802,199983.0,2.1641939564863013,[Aggregate][Sort][Nested Loop;Join Type=Semi][Bitmap Heap Scan;Relation Name=orders][Bitmap Index Scan;Index Name=o_orderdate_idx][Index Scan;Relation Name=lineitem;Index Name=l_orderkey_idx],False,1537.179,1533.242,16.478000000000065,3
Q3_3way_join,oasis_projected,o_orderdate,13880826,13840396.0,1.002921159192266,[Limit][Sort][Aggregate][Hash Join;Join Type=Inner][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Scan;Relation Name=orders;Index Name=orders_pkey][Hash][Seq Scan;Relation Name=customer],False,16273.651,14856.037,4725.353999999999,3
Q1_pricing_scan,oasis_projected,l_shipdate,59326279,58612059.0,1.0121855470049261,[Aggregate][Seq Scan;Relation Name=lineitem],False,25448.168,24763.733,4944.968000000001,3
Q6_lineitem_revenue,calibrated_hybrid,l_shipdate,6775897,5075579.0,1.334999809873908,[Aggregate][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx],False,4044.776,3756.183,446.9369999999999,3
Q14_promo_part_join,calibrated_hybrid,l_shipdate,10676,275377.0,25.79402397901836,[Aggregate][Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Hash][Seq Scan;Relation Name=part],True,1038.104,1000.314,118.0970000000001,3
Q12_shipmode_orders_join,calibrated_hybrid,l_shipdate,6775897,5075579.0,1.334999809873908,[Aggregate][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Only Scan;Relation Name=orders;Index Name=orders_pkey],False,10689.479,9048.445,2212.728000000001,3
Q4_order_priority,calibrated_hybrid,o_orderdate,432802,214152.0,2.021003773021032,[Aggregate][Sort][Nested Loop;Join Type=Semi][Bitmap Heap Scan;Relation Name=orders][Bitmap Index Scan;Index Name=o_orderdate_idx][Index Scan;Relation Name=lineitem;Index Name=l_orderkey_idx],False,1572.716,1506.612,129.99,3
Q3_3way_join,calibrated_hybrid,o_orderdate,13880826,13826455.0,1.0039323890324743,[Limit][Sort][Aggregate][Hash Join;Join Type=Inner][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Scan;Relation Name=orders;Index Name=orders_pkey][Hash][Seq Scan;Relation Name=customer],False,14060.845,13792.166,3092.6730000000007,3
Q1_pricing_scan,calibrated_hybrid,l_shipdate,59326279,58520635.0,1.013766836262115,[Aggregate][Seq Scan;Relation Name=lineitem],False,25167.611,21697.672,4186.268,3
Q6_lineitem_revenue,fresh,l_shipdate,6775897,5261795.0,1.287753893870818,[Aggregate][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx],False,2897.079,2872.863,136.93499999999995,3
Q14_promo_part_join,fresh,l_shipdate,10676,299022.0,28.008804795803673,[Aggregate][Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Hash][Seq Scan;Relation Name=part],True,973.245,873.51,165.615,3
Q12_shipmode_orders_join,fresh,l_shipdate,6775897,5261795.0,1.287753893870818,[Aggregate][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Only Scan;Relation Name=orders;Index Name=orders_pkey],False,10949.615,9430.309,2305.902,3
Q4_order_priority,fresh,o_orderdate,432802,244427.0,1.7706799985271677,[Aggregate][Sort][Nested Loop;Join Type=Semi][Bitmap Heap Scan;Relation Name=orders][Bitmap Index Scan;Index Name=o_orderdate_idx][Index Scan;Relation Name=lineitem;Index Name=l_orderkey_idx],False,1657.268,1652.908,48.965000000000146,3
Q3_3way_join,fresh,o_orderdate,13880826,13799010.0,1.0059291210021588,[Limit][Sort][Aggregate][Hash Join;Join Type=Inner][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Scan;Relation Name=orders;Index Name=orders_pkey][Hash][Seq Scan;Relation Name=customer],False,14177.207,13496.362,2438.3590000000004,3
Q1_pricing_scan,fresh,l_shipdate,59326279,58616298.0,1.0121123480025982,[Aggregate][Seq Scan;Relation Name=lineitem],False,27965.573,23661.988,4689.065999999999,3
