subset,method,n_queries,scan_qerr_gm,total_median_ms,geomean_ratio_vs_stale,geomean_ratio_vs_fresh,n_regressions_gt15pct_vs_stale
all,stale,6,5.5129,60373.25,1.0,0.7476,0
all,isomer,6,2.1226,59156.17,1.409,1.0533,1
all,oasis,6,2.7284,56252.7,1.3842,1.0347,1
all,oasis_projected,6,2.1415,58898.92,1.3538,1.0121,2
all,calibrated_hybrid,6,2.1344,56573.53,1.3849,1.0353,2
all,fresh,6,2.0916,58619.99,1.3377,1.0,2
plan_change,stale,1,2.3255,139.91,1.0,0.1438,0
plan_change,isomer,1,25.4795,1184.29,8.4647,1.2168,1
plan_change,oasis,1,17.2592,1092.25,7.8069,1.1223,1
plan_change,oasis_projected,1,26.7121,855.6,6.1154,0.8791,1
plan_change,calibrated_hybrid,1,25.794,1038.1,7.4199,1.0666,1
plan_change,fresh,1,28.0088,973.25,6.9563,1.0,1
plan_stable,stale,5,6.5517,60233.34,1.0,1.0395,0
plan_stable,isomer,5,1.2912,57971.88,0.9844,1.0233,0
plan_stable,oasis,5,1.8866,55160.45,0.9793,1.0181,0
plan_stable,oasis_projected,5,1.2928,58043.32,1.0014,1.041,1
plan_stable,calibrated_hybrid,5,1.2967,55535.43,0.99,1.0291,1
plan_stable,fresh,5,1.2449,57646.74,0.962,1.0,1
