q_mods,method,method_label,n_predicates,qerror_gm,qerror_mean,improvement_vs_stale_pct,win_vs_isomer_frac,tie_vs_isomer_frac
1,stale,Stale,4096,1.208601915858965,1.2576201856095302,0.0,0.3203125,0.0
1,proj_stale,ISOMER/ISOMER,4096,1.141668889051832,1.1658375919495858,5.538054005115732,0.0,1.0
1,oasis_no_proj,OASIS-noProj,4096,1.1743500843955694,1.2070489729141307,2.834004399128591,0.4384765625,0.0
1,proj_oasis,OASIS,4096,1.148017554216283,1.1715239401570925,5.012763991824729,0.5068359375,0.0
1,proj_fresh,Fresh-init,4096,1.1042139038149972,1.120792691089894,8.637088082867898,0.5947265625,0.0
1,fresh,Fresh,4096,1.0,1.0,17.259770410897417,1.0,0.0
1,stholes_no_proj,STHoles (raw),4096,1.1449831819148888,1.1736051589712395,5.263828652700893,0.472412109375,0.0
1,proj_stholes,STHoles-init,4096,1.147270591483923,1.1768327144158683,5.074567859794695,0.474853515625,0.0
1,quicksel_no_proj,QuickSel-H (raw),4096,1.1862885255668316,1.2198892687855412,1.8462150356823626,0.389892578125,0.0
1,proj_quicksel,QuickSel-init,4096,1.1645597553119535,1.1917516671073853,3.644058475259837,0.44677734375,0.0
5,stale,Stale,4096,1.9684935365240188,2.6326047907918912,0.0,0.18798828125,0.0
5,proj_stale,ISOMER/ISOMER,4096,1.393723202883861,1.5372793549146662,29.19848721754462,0.0,1.0
5,oasis_no_proj,OASIS-noProj,4096,1.4185447843532875,1.5450779701669106,27.937544216773762,0.47998046875,0.0
5,proj_oasis,OASIS,4096,1.3184779338274009,1.4122938276542731,33.020967081477984,0.615478515625,0.0
5,proj_fresh,Fresh-init,4096,1.1634135998877473,1.2015331241382883,40.89827686495166,0.773681640625,0.0
5,fresh,Fresh,4096,1.0,1.0,49.19973159953536,1.0,0.0
5,stholes_no_proj,STHoles (raw),4096,1.4423163420826228,1.592648279447979,26.72994270382639,0.425048828125,0.0
5,proj_stholes,STHoles-init,4096,1.3441593319024852,1.4657233630938413,31.716345166364523,0.67529296875,0.0
5,quicksel_no_proj,QuickSel-H (raw),4096,1.5323297417125814,1.7882618882887509,22.15723784298621,0.363037109375,0.0
5,proj_quicksel,QuickSel-init,4096,1.3578670965253088,1.5190387113498374,31.019987044354686,0.568603515625,0.0
10,stale,Stale,4096,2.99042990037194,4.859682875038657,0.0,0.18017578125,0.0
10,proj_stale,ISOMER/ISOMER,4096,1.6169986862400536,1.9064658520036464,45.927550883605846,0.0,1.0
10,oasis_no_proj,OASIS-noProj,4096,1.4635230907534507,1.6053503603692403,51.059776035163964,0.5458984375,0.0
10,proj_oasis,OASIS,4096,1.3716647309044196,1.4644365708331946,54.13152032977545,0.700927734375,0.000732421875
10,proj_fresh,Fresh-init,4096,1.1757174311725602,1.2193728720916925,60.683999614024444,0.830322265625,0.000732421875
10,fresh,Fresh,4096,1.0,1.0,66.55999193040361,1.0,0.0
10,stholes_no_proj,STHoles (raw),4096,1.7883594135504357,2.2579320471589766,40.197246779534765,0.3740234375,0.0
10,proj_stholes,STHoles-init,4096,1.5544135014571079,1.8424280455070625,48.02039996778473,0.6044921875,0.000732421875
10,quicksel_no_proj,QuickSel-H (raw),4096,1.7901114163408742,2.1174443686800895,40.13865979208454,0.40869140625,0.0
10,proj_quicksel,QuickSel-init,4096,1.5280564590776777,1.753617704000451,48.90177967764357,0.617919921875,0.0
