q_group,locality_bin,method,method_label,n_predicates,qerror_gm,qerror_mean,improvement_vs_stale_pct,win_vs_isomer_frac,tie_vs_isomer_frac
all,far> 0.15,stale,Stale,10812,3.054479712192186,5.265663705002852,0.0,0.19034406215316316,0.0
all,far> 0.15,proj_stale,Proj(stale)/ISOMER,10812,1.7794751460227656,2.277827638184686,41.74211932330549,0.0,1.0
all,far> 0.15,oasis_no_proj,OASIS-noProj,10812,1.918194912248956,2.7469293170957667,37.200600659014476,0.4295227524972253,0.0
all,far> 0.15,proj_oasis,Proj(OASIS),10812,1.6598444696888621,2.0971571444680297,45.658684093940195,0.5215501294857565,0.0
all,far> 0.15,proj_fresh,Proj(fresh),10812,1.1048930908241608,1.1144822184231202,63.82712622336639,0.8903995560488346,0.0
all,far> 0.15,fresh,Fresh,10812,1.0,1.0,67.26120013145203,1.0,0.0
all,mid<= 0.15,stale,Stale,21712,2.546171681138433,4.205277791800833,0.0,0.19721812822402357,0.0
all,mid<= 0.15,proj_stale,Proj(stale)/ISOMER,21712,1.573512377880521,1.925515622196105,38.20085308713437,0.0,1.0
all,mid<= 0.15,oasis_no_proj,OASIS-noProj,21712,1.7768571297516211,2.4954299719294797,30.214559257168368,0.3956337509211496,0.0
all,mid<= 0.15,proj_oasis,Proj(OASIS),21712,1.4947436045138602,1.8104369339259772,41.29446904202716,0.5364314664701547,0.0004605747973470892
all,mid<= 0.15,proj_fresh,Proj(fresh),21712,1.1427076536491227,1.1788098462136176,55.12055757614112,0.8081245394252027,0.0
all,mid<= 0.15,fresh,Fresh,21712,1.0,1.0,60.72535063492324,1.0,0.0
all,near<= 0.05,stale,Stale,33012,2.1594604915328772,3.1903208936786953,0.0,0.2126196534593481,0.0
all,near<= 0.05,proj_stale,Proj(stale)/ISOMER,33012,1.4405446317249249,1.685916698642913,33.29145694615766,0.0,1.0
all,near<= 0.05,oasis_no_proj,OASIS-noProj,33012,1.486627367991188,1.8572360148793978,31.157463921189105,0.4662546952623289,0.0
all,near<= 0.05,proj_oasis,Proj(OASIS),33012,1.3520963080752402,1.5288174930726683,37.38730977590312,0.585484066400097,0.0013631406761177754
all,near<= 0.05,proj_fresh,Proj(fresh),33012,1.1842067480586427,1.2569477306135286,45.16191647395956,0.7483945232036835,0.0005755482854719496
all,near<= 0.05,fresh,Fresh,33012,1.0,1.0,53.69213727591018,1.0,0.0
q=1,far> 0.15,stale,Stale,471,1.1454041256921677,1.1673386810728772,0.0,0.31210191082802546,0.0
q=1,far> 0.15,proj_stale,Proj(stale)/ISOMER,471,1.0991563736204077,1.1088176533148477,4.0376798925717505,0.0,1.0
q=1,far> 0.15,oasis_no_proj,OASIS-noProj,471,1.3670530591131502,1.4194954367166415,-19.35115549606041,0.17834394904458598,0.0
q=1,far> 0.15,proj_oasis,Proj(OASIS),471,1.267495507060018,1.3084488215087382,-10.659240579744774,0.2611464968152866,0.0
q=1,far> 0.15,proj_fresh,Proj(fresh),471,1.0608184474217712,1.0627350409265917,7.384789034113293,0.613588110403397,0.0
q=1,far> 0.15,fresh,Fresh,471,1.0,1.0,12.694569753212646,1.0,0.0
q=1,mid<= 0.15,stale,Stale,2336,1.196648674441711,1.2325912152198235,0.0,0.2940924657534247,0.0
q=1,mid<= 0.15,proj_stale,Proj(stale)/ISOMER,2336,1.1289113656364018,1.141312780206475,5.660584451565258,0.0,1.0
q=1,mid<= 0.15,oasis_no_proj,OASIS-noProj,2336,1.2937519904861199,1.345974287964834,-8.114605240315145,0.269263698630137,0.0
q=1,mid<= 0.15,proj_oasis,Proj(OASIS),2336,1.1862598662166728,1.2134087001713458,0.8681585871379606,0.382277397260274,0.0
q=1,mid<= 0.15,proj_fresh,Proj(fresh),2336,1.0909538702891324,1.0972820907961245,8.832567687578809,0.6134417808219178,0.0
q=1,mid<= 0.15,fresh,Fresh,2336,1.0,1.0,16.433283940539713,1.0,0.0
q=1,near<= 0.05,stale,Stale,5385,1.2428832035983497,1.317979354129755,0.0,0.28542246982358405,0.0
q=1,near<= 0.05,proj_stale,Proj(stale)/ISOMER,5385,1.1436067421197,1.171023195150924,7.9875937812360895,0.0,1.0
q=1,near<= 0.05,oasis_no_proj,OASIS-noProj,5385,1.2532754584343018,1.3080227267361109,-0.8361409025292804,0.3153203342618384,0.0
q=1,near<= 0.05,proj_oasis,Proj(OASIS),5385,1.171225361619752,1.2069170126467537,5.765452600142671,0.4705663881151346,0.0
q=1,near<= 0.05,proj_fresh,Proj(fresh),5385,1.1139764690664264,1.1333194325991165,10.371588750955619,0.5892293407613742,0.0
q=1,near<= 0.05,fresh,Fresh,5385,1.0,1.0,19.54191696332875,1.0,0.0
q=10,far> 0.15,stale,Stale,1570,3.1911696985763336,5.287927391884932,0.0,0.18471337579617833,0.0
q=10,far> 0.15,proj_stale,Proj(stale)/ISOMER,1570,1.76010227842137,2.0978596066351742,44.84460418364467,0.0,1.0
q=10,far> 0.15,oasis_no_proj,OASIS-noProj,1570,1.8138714245092025,2.4345818251613527,43.159668841227116,0.4261146496815287,0.0
q=10,far> 0.15,proj_oasis,Proj(OASIS),1570,1.6032027428501616,1.9194692391184764,49.76128209147281,0.5452229299363057,0.0
q=10,far> 0.15,proj_fresh,Proj(fresh),1570,1.1231713414952593,1.1328810573016537,64.80377267318826,0.8904458598726115,0.0
q=10,far> 0.15,fresh,Fresh,1570,1.0,1.0,68.6635279707586,1.0,0.0
q=10,mid<= 0.15,stale,Stale,2628,2.831868606036235,4.606627433117767,0.0,0.1723744292237443,0.0
q=10,mid<= 0.15,proj_stale,Proj(stale)/ISOMER,2628,1.5720981953673858,1.8101648970039403,44.485482411987654,0.0,1.0
q=10,mid<= 0.15,oasis_no_proj,OASIS-noProj,2628,1.7784273568617435,2.251762635603522,37.199510137194984,0.3888888888888889,0.0
q=10,mid<= 0.15,proj_oasis,Proj(OASIS),2628,1.4926430549431955,1.7272034730134362,47.291231953291536,0.5536529680365296,0.0
q=10,mid<= 0.15,proj_fresh,Proj(fresh),2628,1.1460887014492636,1.1733054851405513,59.5288884870459,0.8264840182648402,0.0
q=10,mid<= 0.15,fresh,Fresh,2628,1.0,1.0,64.68762717774186,1.0,0.0
q=10,near<= 0.05,stale,Stale,3994,2.58912207939266,3.780604546391419,0.0,0.1700050075112669,0.0
q=10,near<= 0.05,proj_stale,Proj(stale)/ISOMER,3994,1.4954712892035404,1.6858492382484307,42.24021721083393,0.0,1.0
q=10,near<= 0.05,oasis_no_proj,OASIS-noProj,3994,1.5075092995666426,1.7938456689004454,41.77527156540009,0.513269904857286,0.0
q=10,near<= 0.05,proj_oasis,Proj(OASIS),3994,1.3890670523379707,1.5379433980402393,46.34988193898492,0.6329494241362043,0.0002503755633450175
q=10,near<= 0.05,proj_fresh,Proj(fresh),3994,1.2021104884605833,1.2652712674525404,53.570729706860064,0.7801702553830746,0.0002503755633450175
q=10,near<= 0.05,fresh,Fresh,3994,1.0,1.0,61.37686948177532,1.0,0.0
q=15,far> 0.15,stale,Stale,1888,3.425857557492349,5.749702933022783,0.0,0.14565677966101695,0.0
q=15,far> 0.15,proj_stale,Proj(stale)/ISOMER,1888,1.8546950427959483,2.3846366539023545,45.8618751167943,0.0,1.0
q=15,far> 0.15,oasis_no_proj,OASIS-noProj,1888,2.162311220180171,3.1856087218982827,36.88262912591922,0.3893008474576271,0.0
q=15,far> 0.15,proj_oasis,Proj(OASIS),1888,1.7910941459812095,2.2938048480881,47.718370775104546,0.4989406779661017,0.0
q=15,far> 0.15,proj_fresh,Proj(fresh),1888,1.1004574759241008,1.1117836872805915,67.87789750576755,0.8919491525423728,0.0
q=15,far> 0.15,fresh,Fresh,1888,1.0,1.0,70.81022829413907,1.0,0.0
q=15,mid<= 0.15,stale,Stale,2797,3.186992087667312,5.20282171025057,0.0,0.16660707901322847,0.0
q=15,mid<= 0.15,proj_stale,Proj(stale)/ISOMER,2797,1.7589781388881152,2.177482035660942,44.807577474232694,0.0,1.0
q=15,mid<= 0.15,oasis_no_proj,OASIS-noProj,2797,2.0364644208498714,2.9781285827981203,36.100738099402,0.4161601716124419,0.0
q=15,mid<= 0.15,proj_oasis,Proj(OASIS),2797,1.6593350677528742,2.0607908871853806,47.934132808989546,0.5462996067214874,0.0010725777618877368
q=15,mid<= 0.15,proj_fresh,Proj(fresh),2797,1.1596313222689576,1.2127407358497602,63.61361150671263,0.8462638541294244,0.0
q=15,mid<= 0.15,fresh,Fresh,2797,1.0,1.0,68.6224511234372,1.0,0.0
q=15,near<= 0.05,stale,Stale,3507,2.87960960223208,4.296844884705366,0.0,0.2013116623895067,0.0
q=15,near<= 0.05,proj_stale,Proj(stale)/ISOMER,3507,1.655070531670366,1.9774113118459222,42.52448212467876,0.0,1.0
q=15,near<= 0.05,oasis_no_proj,OASIS-noProj,3507,1.6646870831774023,2.19893201118671,42.19052881727271,0.5283718277730254,0.0
q=15,near<= 0.05,proj_oasis,Proj(OASIS),3507,1.4975627348767515,1.7645034497431795,47.994244299090354,0.6167664670658682,0.0037068719703450244
q=15,near<= 0.05,proj_fresh,Proj(fresh),3507,1.2098293160846267,1.3021875229182849,57.98634248382669,0.8166524094667807,0.0011405759908753922
