column,label,signal,method,n_cases,qerror_gm,qerror_improvement_pct,selectivity_mae_mean,quantile_mae_mean,feedback_residual_mean,beats_stale_frac,router_isomer_frac,router_hard_frac,router_soft_frac,router_oasis_frac,router_stale_frac
reply_bytes,Reply bytes,log reply size,stale,96,1.056196825351386,0.0,0.01129734026105003,0.010953142097478356,0.02314380646188001,0.0,0.5416666666666666,0.21875,0.16666666666666666,0.0,0.07291666666666667
reply_bytes,Reply bytes,log reply size,isomer,96,1.059255212422831,-0.2895660162988472,0.01104580304289228,0.011865357253479737,0.01798907562087933,0.46875,0.5416666666666666,0.21875,0.16666666666666666,0.0,0.07291666666666667
reply_bytes,Reply bytes,log reply size,oasis,96,1.219190874776847,-15.43216619414042,0.05113187426380313,0.04715660954329795,0.05779595773572405,0.03125,0.5416666666666666,0.21875,0.16666666666666666,0.0,0.07291666666666667
reply_bytes,Reply bytes,log reply size,oasis_projected,96,1.085958077520884,-2.8177751963604516,0.016215007074465503,0.017138777009333712,0.02066762388444503,0.4270833333333333,0.5416666666666666,0.21875,0.16666666666666666,0.0,0.07291666666666667
reply_bytes,Reply bytes,log reply size,oasis_soft_projection,96,1.0902077797156493,-3.220134121587439,0.01705363690030544,0.017641276553404518,0.021778163971608852,0.34375,0.5416666666666666,0.21875,0.16666666666666666,0.0,0.07291666666666667
reply_bytes,Reply bytes,log reply size,hybrid,96,1.055985006443318,0.02005487073846434,0.010663708358425403,0.01145509619081648,0.017585431228722612,0.4583333333333333,0.5416666666666666,0.21875,0.16666666666666666,0.0,0.07291666666666667
reply_bytes,Reply bytes,log reply size,calibrated_hybrid,96,1.0562473162993795,-0.0047804487555316985,0.010894709467915676,0.011527577583338776,0.01729907483413169,0.4583333333333333,0.5416666666666666,0.21875,0.16666666666666666,0.0,0.07291666666666667
reply_bytes,Reply bytes,log reply size,fresh,96,1.0,5.320677358852118,0.0,0.0,0.02118776260097274,1.0,0.5416666666666666,0.21875,0.16666666666666666,0.0,0.07291666666666667
time_of_day,Time of day,request timestamp,stale,96,1.7673323290301346,0.0,0.13444428331827155,0.1727887383187586,0.2637086576925794,0.0,0.5625,0.07291666666666667,0.3541666666666667,0.0,0.010416666666666666
time_of_day,Time of day,request timestamp,isomer,96,1.253812748557169,29.05619797917529,0.0633786423443421,0.05929902581067356,0.12825845785657847,0.8125,0.5625,0.07291666666666667,0.3541666666666667,0.0,0.010416666666666666
time_of_day,Time of day,request timestamp,oasis,96,2.283333180455245,-29.196594378391634,0.2512660012045807,0.14678627308747305,0.3013070730828026,0.25,0.5625,0.07291666666666667,0.3541666666666667,0.0,0.010416666666666666
time_of_day,Time of day,request timestamp,oasis_projected,96,1.3026679073632534,26.29185320917412,0.06094223359391593,0.05873537433045537,0.1422490729164069,0.6145833333333334,0.5625,0.07291666666666667,0.3541666666666667,0.0,0.010416666666666666
time_of_day,Time of day,request timestamp,oasis_soft_projection,96,1.2754221652603113,27.83348415517135,0.055156967872733116,0.056934451164857645,0.13083856971822236,0.625,0.5625,0.07291666666666667,0.3541666666666667,0.0,0.010416666666666666
time_of_day,Time of day,request timestamp,hybrid,96,1.2319550685245424,30.29295915157016,0.05559924818049073,0.053484869015145355,0.12590082504330347,0.8229166666666666,0.5625,0.07291666666666667,0.3541666666666667,0.0,0.010416666666666666
time_of_day,Time of day,request timestamp,calibrated_hybrid,96,1.2523606727999732,29.13835998873875,0.054930585791363874,0.05632027400583064,0.11830149401209418,0.78125,0.5625,0.07291666666666667,0.3541666666666667,0.0,0.010416666666666666
time_of_day,Time of day,request timestamp,fresh,96,1.0,43.41754611885736,0.0,0.0,0.15835041134006103,1.0,0.5625,0.07291666666666667,0.3541666666666667,0.0,0.010416666666666666
path_length,Path length,request path text,stale,96,1.0250495253949445,0.0,0.008845413364786772,0.004491304733385603,0.0349896374376041,0.0,0.5,0.13541666666666666,0.15625,0.0,0.20833333333333334
path_length,Path length,request path text,isomer,96,1.0568535281574416,-3.1026796242106642,0.014969169622179417,0.008610640399933327,0.030388852881848782,0.15625,0.5,0.13541666666666666,0.15625,0.0,0.20833333333333334
path_length,Path length,request path text,oasis,96,1.2748540793273622,-24.369998497016002,0.06133370145785819,0.04338785083717448,0.08213059204662355,0.0,0.5,0.13541666666666666,0.15625,0.0,0.20833333333333334
