q,source,label,router_choice,count,fraction
all,stale,Stale prior,stale,47,0.091796875
all,stale,Stale prior,isomer,443,0.865234375
all,stale,Stale prior,noproj,0,0.0
all,stale,Stale prior,hard,0,0.0
all,stale,Stale prior,soft,22,0.04296875
all,lininterp,LinInterp,stale,48,0.09375
all,lininterp,LinInterp,isomer,389,0.759765625
all,lininterp,LinInterp,noproj,0,0.0
all,lininterp,LinInterp,hard,71,0.138671875
all,lininterp,LinInterp,soft,4,0.0078125
all,feedavg,FeedAvg,stale,48,0.09375
all,feedavg,FeedAvg,isomer,328,0.640625
all,feedavg,FeedAvg,noproj,0,0.0
all,feedavg,FeedAvg,hard,124,0.2421875
all,feedavg,FeedAvg,soft,12,0.0234375
all,stholes,STHoles,stale,48,0.09375
all,stholes,STHoles,isomer,398,0.77734375
all,stholes,STHoles,noproj,0,0.0
all,stholes,STHoles,hard,59,0.115234375
all,stholes,STHoles,soft,7,0.013671875
all,quicksel_h,QuickSel-H,stale,48,0.09375
all,quicksel_h,QuickSel-H,isomer,342,0.66796875
all,quicksel_h,QuickSel-H,noproj,0,0.0
all,quicksel_h,QuickSel-H,hard,114,0.22265625
all,quicksel_h,QuickSel-H,soft,8,0.015625
all,lqm,LQM (learned QD),stale,48,0.09375
all,lqm,LQM (learned QD),isomer,157,0.306640625
all,lqm,LQM (learned QD),noproj,0,0.0
all,lqm,LQM (learned QD),hard,292,0.5703125
all,lqm,LQM (learned QD),soft,15,0.029296875
all,oasis_mlp,OASIS MLP,stale,48,0.09375
all,oasis_mlp,OASIS MLP,isomer,400,0.78125
all,oasis_mlp,OASIS MLP,noproj,0,0.0
all,oasis_mlp,OASIS MLP,hard,61,0.119140625
all,oasis_mlp,OASIS MLP,soft,3,0.005859375
1,stale,Stale prior,stale,26,0.203125
1,stale,Stale prior,isomer,96,0.75
1,stale,Stale prior,noproj,0,0.0
1,stale,Stale prior,hard,0,0.0
1,stale,Stale prior,soft,6,0.046875
1,lininterp,LinInterp,stale,27,0.2109375
1,lininterp,LinInterp,isomer,86,0.671875
1,lininterp,LinInterp,noproj,0,0.0
1,lininterp,LinInterp,hard,14,0.109375
1,lininterp,LinInterp,soft,1,0.0078125
1,feedavg,FeedAvg,stale,27,0.2109375
1,feedavg,FeedAvg,isomer,73,0.5703125
1,feedavg,FeedAvg,noproj,0,0.0
1,feedavg,FeedAvg,hard,24,0.1875
1,feedavg,FeedAvg,soft,4,0.03125
1,stholes,STHoles,stale,27,0.2109375
1,stholes,STHoles,isomer,88,0.6875
1,stholes,STHoles,noproj,0,0.0
1,stholes,STHoles,hard,13,0.1015625
1,stholes,STHoles,soft,0,0.0
1,quicksel_h,QuickSel-H,stale,27,0.2109375
1,quicksel_h,QuickSel-H,isomer,83,0.6484375
1,quicksel_h,QuickSel-H,noproj,0,0.0
1,quicksel_h,QuickSel-H,hard,18,0.140625
1,quicksel_h,QuickSel-H,soft,0,0.0
1,lqm,LQM (learned QD),stale,27,0.2109375
1,lqm,LQM (learned QD),isomer,54,0.421875
1,lqm,LQM (learned QD),noproj,0,0.0
1,lqm,LQM (learned QD),hard,46,0.359375
