q,source,label,none_qerr,none_resid,none_qmae,hard_qerr,hard_resid,hard_qmae,router_qerr,router_resid,router_qmae,cases
1,stale,Stale prior,1.027139543620257,0.0028470388683544553,0.0029456967213114774,1.0282665050484066,0.0006566868719434249,0.0035161819894384207,1.028193743052167,0.0006162528763483345,0.0034999093267450198,128
1,lininterp,LinInterp,1.0648837432572633,0.012352890432714855,0.013271037956803207,1.0455465150837546,0.0022226038093246187,0.0075883336974048865,1.0287740918970254,0.0006088306491283977,0.0036803912720698106,128
1,feedavg,FeedAvg,1.0446617224925319,0.005806927972829638,0.007634780062268564,1.0375809497907702,0.0011726500905440615,0.005842605765525379,1.0292401671849276,0.0005274899504625392,0.003804688246637893,128
1,stholes,STHoles,1.0704365451743814,0.01733063729093655,0.01394026333366199,1.0429287460155343,0.0024671545457458323,0.006711118275127195,1.0284388836938163,0.0005427954984461209,0.0035589853578994073,128
1,quicksel_h,QuickSel-H,1.0770220754145066,0.008321702129435718,0.014481509141133764,1.0661042681885535,0.0018207684367624029,0.01084593312814652,1.0307103768644252,0.0005739519275784862,0.0037993833108781174,128
1,lqm,LQM (learned QD),1.028385750684947,0.0027597880973289825,0.003170480418943546,1.0289066390176669,0.0006930366309503235,0.0035785453369458985,1.0281769630472304,0.0006020836491953271,0.003464508301882171,128
1,oasis_mlp,OASIS MLP,1.2160654205730113,0.029068916266160073,0.05379558227658788,1.162516280136089,0.005656633314487791,0.038673534784848175,1.0360723451650955,0.0005594877461831173,0.005633059181897181,128
3,stale,Stale prior,1.0344658795847472,0.003960396762515977,0.004206511839708561,1.033638815869366,0.0008205619139937038,0.004448498777929933,1.0335310948526124,0.000767762284944029,0.0044299081618677455,128
3,lininterp,LinInterp,1.0793039720669926,0.01869340910189584,0.017718562796079067,1.0508891946716077,0.002605831705934402,0.009110625284034507,1.033903307969157,0.0006201053237107281,0.004604379874724448,128
3,feedavg,FeedAvg,1.0502422319753795,0.00848536862331404,0.008861851845326422,1.0398813472290223,0.0014973751932326747,0.006146675022039291,1.0337469572543525,0.0007215078082020773,0.004532384042622149,128
3,stholes,STHoles,1.0755994920465284,0.01900164469373163,0.014493307962620215,1.0462814413566288,0.0025988405341161006,0.007075460286244055,1.0345242193252078,0.0006831258632102182,0.0045363699288394135,128
3,quicksel_h,QuickSel-H,1.0736876850357426,0.007877665837076565,0.013988767556711362,1.061614009389727,0.0017619661569522878,0.010534306845955455,1.0362978848535784,0.0007435414385399417,0.005107740287821769,128
3,lqm,LQM (learned QD),1.0356683433143095,0.0035629561683472926,0.004404969262295092,1.0342182097521864,0.0007705515523213191,0.004516852635175608,1.0336765854038013,0.0007056103115204834,0.0044441239992305875,128
3,oasis_mlp,OASIS MLP,1.2480210867138852,0.033751947887591977,0.06301344017589801,1.1778105647614046,0.0065890054701907945,0.04401774730179768,1.0368631619035753,0.0007439708700757579,0.005155692018622045,128
5,stale,Stale prior,1.0446419193074725,0.00561613767624904,0.005565516848816009,1.0431205148644154,0.0011419417184423861,0.005779290625089307,1.0430568750539913,0.0010973007703883734,0.005765999481505421,128
5,lininterp,LinInterp,1.0949040389261937,0.0206748248154753,0.019545857810380225,1.0611398461022354,0.0029759795379074687,0.010173687312890383,1.0445616570323044,0.000995577003820414,0.006232349910191275,128
5,feedavg,FeedAvg,1.0636460989631253,0.010004939611380484,0.011005956781894307,1.0496202772542116,0.0016906507875754937,0.007623067133931122,1.0442328467426212,0.0009856160482368667,0.006134603004967479,128
5,stholes,STHoles,1.0830778047538039,0.021673744592348096,0.015313209021624979,1.0511621854518278,0.0029868902420252842,0.0075519744654093815,1.0432733603105049,0.0010257881244034653,0.005790251540213158,128
5,quicksel_h,QuickSel-H,1.0738677126642713,0.008333998196234413,0.013124493754717411,1.0653315508489924,0.0018954347390054205,0.010867203964820348,1.0461242645910938,0.00104904522200925,0.006383600847574562,128
5,lqm,LQM (learned QD),1.0452625174145358,0.005297775357526258,0.005674422244990883,1.043502676132846,0.001132125830602767,0.00582677302551653,1.0432371992823537,0.0010591621260224932,0.005776708267848998,128
5,oasis_mlp,OASIS MLP,1.1956554559995,0.025263069209269115,0.04488644605564616,1.1536135823425167,0.005351963234746829,0.03289907230708486,1.0542745713825548,0.0008871708670220558,0.00784020440182972,128
10,stale,Stale prior,1.0519729621610034,0.006970868680054521,0.006528916211293254,1.049542286458053,0.0014662662128236271,0.006546648215520121,1.049310009733807,0.0013373045827136975,0.00648949596291924,128
10,lininterp,LinInterp,1.0926205960545037,0.019652727408009017,0.018377063327833034,1.0608036643277097,0.002791589203935433,0.009609531338023737,1.0500184231651792,0.001207982750928537,0.006851613509954693,128
10,feedavg,FeedAvg,1.0639850632435273,0.010319699844725826,0.010222439468420467,1.0536996544158885,0.001984690315438205,0.007635400602610055,1.0506172206808466,0.0012707017017276737,0.006755880072228923,128
10,stholes,STHoles,1.0820544193446577,0.017194496284409257,0.014496768631170658,1.0576950388664548,0.002678424105470433,0.008521838226317812,1.050003650469967,0.0010788361725268334,0.006703126048663064,128
10,quicksel_h,QuickSel-H,1.0847967884255998,0.011094802783617451,0.01572053273540665,1.0727656064565345,0.0022459764354845506,0.011988296101659638,1.0535507510477473,0.001295423526279623,0.0074060388028467745,128
10,lqm,LQM (learned QD),1.0523789398011845,0.0064506788371560125,0.006606785063752279,1.0497588461558665,0.0014102020989284992,0.0065324470754437956,1.0489714241610513,0.0012566147726162133,0.006398033707527716,128
10,oasis_mlp,OASIS MLP,1.2347276066357649,0.035683045275287595,0.061857235795675786,1.170617263477642,0.006112772177946588,0.04187159670127154,1.0608216081485415,0.0012823582427865295,0.00927965867993738,128
