q,source,label,router_choice,count,fraction
all,stale,Stale prior,stale,159,0.310546875
all,stale,Stale prior,isomer,289,0.564453125
all,stale,Stale prior,noproj,0,0.0
all,stale,Stale prior,hard,0,0.0
all,stale,Stale prior,soft,64,0.125
all,lininterp,LinInterp,stale,163,0.318359375
all,lininterp,LinInterp,isomer,198,0.38671875
all,lininterp,LinInterp,noproj,0,0.0
all,lininterp,LinInterp,hard,119,0.232421875
all,lininterp,LinInterp,soft,32,0.0625
all,feedavg,FeedAvg,stale,165,0.322265625
all,feedavg,FeedAvg,isomer,235,0.458984375
all,feedavg,FeedAvg,noproj,0,0.0
all,feedavg,FeedAvg,hard,72,0.140625
all,feedavg,FeedAvg,soft,40,0.078125
all,stholes,STHoles,stale,168,0.328125
all,stholes,STHoles,isomer,255,0.498046875
all,stholes,STHoles,noproj,0,0.0
all,stholes,STHoles,hard,79,0.154296875
all,stholes,STHoles,soft,10,0.01953125
all,quicksel_h,QuickSel-H,stale,161,0.314453125
all,quicksel_h,QuickSel-H,isomer,273,0.533203125
all,quicksel_h,QuickSel-H,noproj,0,0.0
all,quicksel_h,QuickSel-H,hard,29,0.056640625
all,quicksel_h,QuickSel-H,soft,49,0.095703125
all,lqm,LQM (learned QD),stale,161,0.314453125
all,lqm,LQM (learned QD),isomer,230,0.44921875
all,lqm,LQM (learned QD),noproj,0,0.0
all,lqm,LQM (learned QD),hard,69,0.134765625
all,lqm,LQM (learned QD),soft,52,0.1015625
all,oasis_mlp,OASIS MLP,stale,168,0.328125
all,oasis_mlp,OASIS MLP,isomer,173,0.337890625
all,oasis_mlp,OASIS MLP,noproj,0,0.0
all,oasis_mlp,OASIS MLP,hard,132,0.2578125
all,oasis_mlp,OASIS MLP,soft,39,0.076171875
1,stale,Stale prior,stale,61,0.4765625
1,stale,Stale prior,isomer,56,0.4375
1,stale,Stale prior,noproj,0,0.0
1,stale,Stale prior,hard,0,0.0
1,stale,Stale prior,soft,11,0.0859375
1,lininterp,LinInterp,stale,62,0.484375
1,lininterp,LinInterp,isomer,42,0.328125
1,lininterp,LinInterp,noproj,0,0.0
1,lininterp,LinInterp,hard,18,0.140625
1,lininterp,LinInterp,soft,6,0.046875
1,feedavg,FeedAvg,stale,62,0.484375
1,feedavg,FeedAvg,isomer,41,0.3203125
1,feedavg,FeedAvg,noproj,0,0.0
1,feedavg,FeedAvg,hard,15,0.1171875
1,feedavg,FeedAvg,soft,10,0.078125
1,stholes,STHoles,stale,63,0.4921875
1,stholes,STHoles,isomer,51,0.3984375
1,stholes,STHoles,noproj,0,0.0
1,stholes,STHoles,hard,12,0.09375
1,stholes,STHoles,soft,2,0.015625
1,quicksel_h,QuickSel-H,stale,61,0.4765625
1,quicksel_h,QuickSel-H,isomer,52,0.40625
1,quicksel_h,QuickSel-H,noproj,0,0.0
1,quicksel_h,QuickSel-H,hard,7,0.0546875
1,quicksel_h,QuickSel-H,soft,8,0.0625
1,lqm,LQM (learned QD),stale,61,0.4765625
1,lqm,LQM (learned QD),isomer,48,0.375
1,lqm,LQM (learned QD),noproj,0,0.0
1,lqm,LQM (learned QD),hard,11,0.0859375
1,lqm,LQM (learned QD),soft,8,0.0625
1,oasis_mlp,OASIS MLP,stale,63,0.4921875
1,oasis_mlp,OASIS MLP,isomer,38,0.296875
1,oasis_mlp,OASIS MLP,noproj,0,0.0
1,oasis_mlp,OASIS MLP,hard,22,0.171875
1,oasis_mlp,OASIS MLP,soft,5,0.0390625
3,stale,Stale prior,stale,48,0.375
3,stale,Stale prior,isomer,67,0.5234375
3,stale,Stale prior,noproj,0,0.0
3,stale,Stale prior,hard,0,0.0
3,stale,Stale prior,soft,13,0.1015625
3,lininterp,LinInterp,stale,50,0.390625
3,lininterp,LinInterp,isomer,43,0.3359375
3,lininterp,LinInterp,noproj,0,0.0
3,lininterp,LinInterp,hard,28,0.21875
3,lininterp,LinInterp,soft,7,0.0546875
3,feedavg,FeedAvg,stale,52,0.40625
3,feedavg,FeedAvg,isomer,58,0.453125
3,feedavg,FeedAvg,noproj,0,0.0
3,feedavg,FeedAvg,hard,12,0.09375
3,feedavg,FeedAvg,soft,6,0.046875
3,stholes,STHoles,stale,52,0.40625
3,stholes,STHoles,isomer,57,0.4453125
3,stholes,STHoles,noproj,0,0.0
3,stholes,STHoles,hard,18,0.140625
3,stholes,STHoles,soft,1,0.0078125
3,quicksel_h,QuickSel-H,stale,48,0.375
3,quicksel_h,QuickSel-H,isomer,63,0.4921875
3,quicksel_h,QuickSel-H,noproj,0,0.0
3,quicksel_h,QuickSel-H,hard,8,0.0625
3,quicksel_h,QuickSel-H,soft,9,0.0703125
3,lqm,LQM (learned QD),stale,48,0.375
3,lqm,LQM (learned QD),isomer,48,0.375
3,lqm,LQM (learned QD),noproj,0,0.0
3,lqm,LQM (learned QD),hard,21,0.1640625
3,lqm,LQM (learned QD),soft,11,0.0859375
3,oasis_mlp,OASIS MLP,stale,52,0.40625
3,oasis_mlp,OASIS MLP,isomer,45,0.3515625
3,oasis_mlp,OASIS MLP,noproj,0,0.0
3,oasis_mlp,OASIS MLP,hard,26,0.203125
3,oasis_mlp,OASIS MLP,soft,5,0.0390625
5,stale,Stale prior,stale,26,0.203125
5,stale,Stale prior,isomer,87,0.6796875
5,stale,Stale prior,noproj,0,0.0
5,stale,Stale prior,hard,0,0.0
5,stale,Stale prior,soft,15,0.1171875
5,lininterp,LinInterp,stale,27,0.2109375
5,lininterp,LinInterp,isomer,59,0.4609375
5,lininterp,LinInterp,noproj,0,0.0
5,lininterp,LinInterp,hard,37,0.2890625
5,lininterp,LinInterp,soft,5,0.0390625
5,feedavg,FeedAvg,stale,27,0.2109375
5,feedavg,FeedAvg,isomer,65,0.5078125
5,feedavg,FeedAvg,noproj,0,0.0
5,feedavg,FeedAvg,hard,25,0.1953125
5,feedavg,FeedAvg,soft,11,0.0859375
5,stholes,STHoles,stale,27,0.2109375
5,stholes,STHoles,isomer,77,0.6015625
5,stholes,STHoles,noproj,0,0.0
5,stholes,STHoles,hard,23,0.1796875
