q,source,label,router_choice,count,fraction
all,stale,Stale prior,stale,0,0.0
all,stale,Stale prior,isomer,492,0.9609375
all,stale,Stale prior,noproj,0,0.0
all,stale,Stale prior,hard,0,0.0
all,stale,Stale prior,soft,20,0.0390625
all,lininterp,LinInterp,stale,0,0.0
all,lininterp,LinInterp,isomer,241,0.470703125
all,lininterp,LinInterp,noproj,0,0.0
all,lininterp,LinInterp,hard,262,0.51171875
all,lininterp,LinInterp,soft,9,0.017578125
all,feedavg,FeedAvg,stale,0,0.0
all,feedavg,FeedAvg,isomer,255,0.498046875
all,feedavg,FeedAvg,noproj,0,0.0
all,feedavg,FeedAvg,hard,241,0.470703125
all,feedavg,FeedAvg,soft,16,0.03125
all,stholes,STHoles,stale,0,0.0
all,stholes,STHoles,isomer,115,0.224609375
all,stholes,STHoles,noproj,0,0.0
all,stholes,STHoles,hard,373,0.728515625
all,stholes,STHoles,soft,24,0.046875
all,quicksel_h,QuickSel-H,stale,0,0.0
all,quicksel_h,QuickSel-H,isomer,156,0.3046875
all,quicksel_h,QuickSel-H,noproj,0,0.0
all,quicksel_h,QuickSel-H,hard,350,0.68359375
all,quicksel_h,QuickSel-H,soft,6,0.01171875
all,lqm,LQM (learned QD),stale,0,0.0
all,lqm,LQM (learned QD),isomer,176,0.34375
all,lqm,LQM (learned QD),noproj,0,0.0
all,lqm,LQM (learned QD),hard,325,0.634765625
all,lqm,LQM (learned QD),soft,11,0.021484375
all,oasis_mlp,OASIS MLP,stale,0,0.0
all,oasis_mlp,OASIS MLP,isomer,186,0.36328125
all,oasis_mlp,OASIS MLP,noproj,0,0.0
all,oasis_mlp,OASIS MLP,hard,313,0.611328125
all,oasis_mlp,OASIS MLP,soft,13,0.025390625
1,stale,Stale prior,stale,0,0.0
1,stale,Stale prior,isomer,118,0.921875
1,stale,Stale prior,noproj,0,0.0
1,stale,Stale prior,hard,0,0.0
1,stale,Stale prior,soft,10,0.078125
1,lininterp,LinInterp,stale,0,0.0
1,lininterp,LinInterp,isomer,73,0.5703125
1,lininterp,LinInterp,noproj,0,0.0
1,lininterp,LinInterp,hard,52,0.40625
1,lininterp,LinInterp,soft,3,0.0234375
1,feedavg,FeedAvg,stale,0,0.0
1,feedavg,FeedAvg,isomer,52,0.40625
1,feedavg,FeedAvg,noproj,0,0.0
1,feedavg,FeedAvg,hard,68,0.53125
1,feedavg,FeedAvg,soft,8,0.0625
1,stholes,STHoles,stale,0,0.0
1,stholes,STHoles,isomer,24,0.1875
1,stholes,STHoles,noproj,0,0.0
1,stholes,STHoles,hard,95,0.7421875
1,stholes,STHoles,soft,9,0.0703125
1,quicksel_h,QuickSel-H,stale,0,0.0
1,quicksel_h,QuickSel-H,isomer,57,0.4453125
1,quicksel_h,QuickSel-H,noproj,0,0.0
1,quicksel_h,QuickSel-H,hard,71,0.5546875
1,quicksel_h,QuickSel-H,soft,0,0.0
1,lqm,LQM (learned QD),stale,0,0.0
1,lqm,LQM (learned QD),isomer,48,0.375
1,lqm,LQM (learned QD),noproj,0,0.0
1,lqm,LQM (learned QD),hard,75,0.5859375
1,lqm,LQM (learned QD),soft,5,0.0390625
1,oasis_mlp,OASIS MLP,stale,0,0.0
1,oasis_mlp,OASIS MLP,isomer,35,0.2734375
1,oasis_mlp,OASIS MLP,noproj,0,0.0
1,oasis_mlp,OASIS MLP,hard,87,0.6796875
1,oasis_mlp,OASIS MLP,soft,6,0.046875
3,stale,Stale prior,stale,0,0.0
3,stale,Stale prior,isomer,124,0.96875
3,stale,Stale prior,noproj,0,0.0
3,stale,Stale prior,hard,0,0.0
3,stale,Stale prior,soft,4,0.03125
3,lininterp,LinInterp,stale,0,0.0
3,lininterp,LinInterp,isomer,61,0.4765625
3,lininterp,LinInterp,noproj,0,0.0
3,lininterp,LinInterp,hard,65,0.5078125
3,lininterp,LinInterp,soft,2,0.015625
3,feedavg,FeedAvg,stale,0,0.0
3,feedavg,FeedAvg,isomer,67,0.5234375
3,feedavg,FeedAvg,noproj,0,0.0
3,feedavg,FeedAvg,hard,58,0.453125
3,feedavg,FeedAvg,soft,3,0.0234375
3,stholes,STHoles,stale,0,0.0
3,stholes,STHoles,isomer,33,0.2578125
3,stholes,STHoles,noproj,0,0.0
3,stholes,STHoles,hard,90,0.703125
3,stholes,STHoles,soft,5,0.0390625
3,quicksel_h,QuickSel-H,stale,0,0.0
3,quicksel_h,QuickSel-H,isomer,33,0.2578125
3,quicksel_h,QuickSel-H,noproj,0,0.0
3,quicksel_h,QuickSel-H,hard,93,0.7265625
3,quicksel_h,QuickSel-H,soft,2,0.015625
3,lqm,LQM (learned QD),stale,0,0.0
3,lqm,LQM (learned QD),isomer,41,0.3203125
3,lqm,LQM (learned QD),noproj,0,0.0
3,lqm,LQM (learned QD),hard,86,0.671875
3,lqm,LQM (learned QD),soft,1,0.0078125
3,oasis_mlp,OASIS MLP,stale,0,0.0
3,oasis_mlp,OASIS MLP,isomer,38,0.296875
3,oasis_mlp,OASIS MLP,noproj,0,0.0
3,oasis_mlp,OASIS MLP,hard,86,0.671875
3,oasis_mlp,OASIS MLP,soft,4,0.03125
5,stale,Stale prior,stale,0,0.0
5,stale,Stale prior,isomer,126,0.984375
5,stale,Stale prior,noproj,0,0.0
5,stale,Stale prior,hard,0,0.0
5,stale,Stale prior,soft,2,0.015625
5,lininterp,LinInterp,stale,0,0.0
5,lininterp,LinInterp,isomer,52,0.40625
5,lininterp,LinInterp,noproj,0,0.0
5,lininterp,LinInterp,hard,75,0.5859375
5,lininterp,LinInterp,soft,1,0.0078125
5,feedavg,FeedAvg,stale,0,0.0
5,feedavg,FeedAvg,isomer,63,0.4921875
5,feedavg,FeedAvg,noproj,0,0.0
5,feedavg,FeedAvg,hard,63,0.4921875
5,feedavg,FeedAvg,soft,2,0.015625
5,stholes,STHoles,stale,0,0.0
5,stholes,STHoles,isomer,26,0.203125
5,stholes,STHoles,noproj,0,0.0
5,stholes,STHoles,hard,98,0.765625
5,stholes,STHoles,soft,4,0.03125
5,quicksel_h,QuickSel-H,stale,0,0.0
5,quicksel_h,QuickSel-H,isomer,29,0.2265625
5,quicksel_h,QuickSel-H,noproj,0,0.0
5,quicksel_h,QuickSel-H,hard,98,0.765625
5,quicksel_h,QuickSel-H,soft,1,0.0078125
5,lqm,LQM (learned QD),stale,0,0.0
5,lqm,LQM (learned QD),isomer,52,0.40625
5,lqm,LQM (learned QD),noproj,0,0.0
5,lqm,LQM (learned QD),hard,75,0.5859375
5,lqm,LQM (learned QD),soft,1,0.0078125
5,oasis_mlp,OASIS MLP,stale,0,0.0
5,oasis_mlp,OASIS MLP,isomer,55,0.4296875
5,oasis_mlp,OASIS MLP,noproj,0,0.0
5,oasis_mlp,OASIS MLP,hard,73,0.5703125
5,oasis_mlp,OASIS MLP,soft,0,0.0
10,stale,Stale prior,stale,0,0.0
10,stale,Stale prior,isomer,124,0.96875
10,stale,Stale prior,noproj,0,0.0
10,stale,Stale prior,hard,0,0.0
10,stale,Stale prior,soft,4,0.03125
10,lininterp,LinInterp,stale,0,0.0
10,lininterp,LinInterp,isomer,55,0.4296875
10,lininterp,LinInterp,noproj,0,0.0
10,lininterp,LinInterp,hard,70,0.546875
10,lininterp,LinInterp,soft,3,0.0234375
10,feedavg,FeedAvg,stale,0,0.0
10,feedavg,FeedAvg,isomer,73,0.5703125
10,feedavg,FeedAvg,noproj,0,0.0
10,feedavg,FeedAvg,hard,52,0.40625
10,feedavg,FeedAvg,soft,3,0.0234375
10,stholes,STHoles,stale,0,0.0
10,stholes,STHoles,isomer,32,0.25
10,stholes,STHoles,noproj,0,0.0
10,stholes,STHoles,hard,90,0.703125
10,stholes,STHoles,soft,6,0.046875
10,quicksel_h,QuickSel-H,stale,0,0.0
10,quicksel_h,QuickSel-H,isomer,37,0.2890625
10,quicksel_h,QuickSel-H,noproj,0,0.0
10,quicksel_h,QuickSel-H,hard,88,0.6875
10,quicksel_h,QuickSel-H,soft,3,0.0234375
10,lqm,LQM (learned QD),stale,0,0.0
10,lqm,LQM (learned QD),isomer,35,0.2734375
10,lqm,LQM (learned QD),noproj,0,0.0
10,lqm,LQM (learned QD),hard,89,0.6953125
10,lqm,LQM (learned QD),soft,4,0.03125
10,oasis_mlp,OASIS MLP,stale,0,0.0
10,oasis_mlp,OASIS MLP,isomer,58,0.453125
10,oasis_mlp,OASIS MLP,noproj,0,0.0
10,oasis_mlp,OASIS MLP,hard,67,0.5234375
10,oasis_mlp,OASIS MLP,soft,3,0.0234375
