q,source,label,router_choice,count,fraction
all,stale,Stale prior,stale,3,0.005859375
all,stale,Stale prior,isomer,471,0.919921875
all,stale,Stale prior,noproj,0,0.0
all,stale,Stale prior,hard,0,0.0
all,stale,Stale prior,soft,38,0.07421875
all,lininterp,LinInterp,stale,1,0.001953125
all,lininterp,LinInterp,isomer,206,0.40234375
all,lininterp,LinInterp,noproj,2,0.00390625
all,lininterp,LinInterp,hard,278,0.54296875
all,lininterp,LinInterp,soft,25,0.048828125
all,feedavg,FeedAvg,stale,4,0.0078125
all,feedavg,FeedAvg,isomer,314,0.61328125
all,feedavg,FeedAvg,noproj,0,0.0
all,feedavg,FeedAvg,hard,172,0.3359375
all,feedavg,FeedAvg,soft,22,0.04296875
all,stholes,STHoles,stale,2,0.00390625
all,stholes,STHoles,isomer,156,0.3046875
all,stholes,STHoles,noproj,3,0.005859375
all,stholes,STHoles,hard,328,0.640625
all,stholes,STHoles,soft,23,0.044921875
all,quicksel_h,QuickSel-H,stale,2,0.00390625
all,quicksel_h,QuickSel-H,isomer,394,0.76953125
all,quicksel_h,QuickSel-H,noproj,1,0.001953125
all,quicksel_h,QuickSel-H,hard,87,0.169921875
all,quicksel_h,QuickSel-H,soft,28,0.0546875
all,lqm,LQM (learned QD),stale,1,0.001953125
all,lqm,LQM (learned QD),isomer,357,0.697265625
all,lqm,LQM (learned QD),noproj,1,0.001953125
all,lqm,LQM (learned QD),hard,124,0.2421875
all,lqm,LQM (learned QD),soft,29,0.056640625
all,oasis_mlp,OASIS MLP,stale,3,0.005859375
all,oasis_mlp,OASIS MLP,isomer,286,0.55859375
all,oasis_mlp,OASIS MLP,noproj,0,0.0
all,oasis_mlp,OASIS MLP,hard,195,0.380859375
all,oasis_mlp,OASIS MLP,soft,28,0.0546875
1,stale,Stale prior,stale,2,0.015625
1,stale,Stale prior,isomer,110,0.859375
1,stale,Stale prior,noproj,0,0.0
1,stale,Stale prior,hard,0,0.0
1,stale,Stale prior,soft,16,0.125
1,lininterp,LinInterp,stale,0,0.0
1,lininterp,LinInterp,isomer,54,0.421875
1,lininterp,LinInterp,noproj,1,0.0078125
1,lininterp,LinInterp,hard,60,0.46875
1,lininterp,LinInterp,soft,13,0.1015625
1,feedavg,FeedAvg,stale,2,0.015625
1,feedavg,FeedAvg,isomer,77,0.6015625
1,feedavg,FeedAvg,noproj,0,0.0
1,feedavg,FeedAvg,hard,39,0.3046875
1,feedavg,FeedAvg,soft,10,0.078125
1,stholes,STHoles,stale,1,0.0078125
1,stholes,STHoles,isomer,46,0.359375
1,stholes,STHoles,noproj,1,0.0078125
1,stholes,STHoles,hard,68,0.53125
1,stholes,STHoles,soft,12,0.09375
1,quicksel_h,QuickSel-H,stale,1,0.0078125
1,quicksel_h,QuickSel-H,isomer,102,0.796875
1,quicksel_h,QuickSel-H,noproj,1,0.0078125
1,quicksel_h,QuickSel-H,hard,14,0.109375
1,quicksel_h,QuickSel-H,soft,10,0.078125
1,lqm,LQM (learned QD),stale,0,0.0
1,lqm,LQM (learned QD),isomer,81,0.6328125
1,lqm,LQM (learned QD),noproj,1,0.0078125
1,lqm,LQM (learned QD),hard,36,0.28125
1,lqm,LQM (learned QD),soft,10,0.078125
1,oasis_mlp,OASIS MLP,stale,2,0.015625
1,oasis_mlp,OASIS MLP,isomer,90,0.703125
1,oasis_mlp,OASIS MLP,noproj,0,0.0
1,oasis_mlp,OASIS MLP,hard,28,0.21875
1,oasis_mlp,OASIS MLP,soft,8,0.0625
3,stale,Stale prior,stale,0,0.0
3,stale,Stale prior,isomer,119,0.9296875
3,stale,Stale prior,noproj,0,0.0
3,stale,Stale prior,hard,0,0.0
3,stale,Stale prior,soft,9,0.0703125
3,lininterp,LinInterp,stale,0,0.0
3,lininterp,LinInterp,isomer,41,0.3203125
3,lininterp,LinInterp,noproj,1,0.0078125
3,lininterp,LinInterp,hard,81,0.6328125
3,lininterp,LinInterp,soft,5,0.0390625
3,feedavg,FeedAvg,stale,1,0.0078125
3,feedavg,FeedAvg,isomer,85,0.6640625
3,feedavg,FeedAvg,noproj,0,0.0
3,feedavg,FeedAvg,hard,34,0.265625
3,feedavg,FeedAvg,soft,8,0.0625
3,stholes,STHoles,stale,0,0.0
3,stholes,STHoles,isomer,38,0.296875
3,stholes,STHoles,noproj,1,0.0078125
3,stholes,STHoles,hard,86,0.671875
3,stholes,STHoles,soft,3,0.0234375
3,quicksel_h,QuickSel-H,stale,0,0.0
