q,source,label,router_choice,count,fraction
all,stale,Stale prior,stale,1,0.001953125
all,stale,Stale prior,isomer,477,0.931640625
all,stale,Stale prior,noproj,0,0.0
all,stale,Stale prior,hard,0,0.0
all,stale,Stale prior,soft,34,0.06640625
all,lininterp,LinInterp,stale,0,0.0
all,lininterp,LinInterp,isomer,249,0.486328125
all,lininterp,LinInterp,noproj,1,0.001953125
all,lininterp,LinInterp,hard,241,0.470703125
all,lininterp,LinInterp,soft,21,0.041015625
all,feedavg,FeedAvg,stale,0,0.0
all,feedavg,FeedAvg,isomer,301,0.587890625
all,feedavg,FeedAvg,noproj,1,0.001953125
all,feedavg,FeedAvg,hard,186,0.36328125
all,feedavg,FeedAvg,soft,24,0.046875
all,stholes,STHoles,stale,0,0.0
all,stholes,STHoles,isomer,194,0.37890625
all,stholes,STHoles,noproj,0,0.0
all,stholes,STHoles,hard,285,0.556640625
all,stholes,STHoles,soft,33,0.064453125
all,quicksel_h,QuickSel-H,stale,0,0.0
all,quicksel_h,QuickSel-H,isomer,323,0.630859375
all,quicksel_h,QuickSel-H,noproj,3,0.005859375
all,quicksel_h,QuickSel-H,hard,171,0.333984375
all,quicksel_h,QuickSel-H,soft,15,0.029296875
all,lqm,LQM (learned QD),stale,0,0.0
all,lqm,LQM (learned QD),isomer,243,0.474609375
all,lqm,LQM (learned QD),noproj,2,0.00390625
all,lqm,LQM (learned QD),hard,247,0.482421875
all,lqm,LQM (learned QD),soft,20,0.0390625
all,oasis_mlp,OASIS MLP,stale,0,0.0
all,oasis_mlp,OASIS MLP,isomer,250,0.48828125
all,oasis_mlp,OASIS MLP,noproj,1,0.001953125
all,oasis_mlp,OASIS MLP,hard,235,0.458984375
all,oasis_mlp,OASIS MLP,soft,26,0.05078125
1,stale,Stale prior,stale,0,0.0
1,stale,Stale prior,isomer,113,0.8828125
1,stale,Stale prior,noproj,0,0.0
1,stale,Stale prior,hard,0,0.0
1,stale,Stale prior,soft,15,0.1171875
1,lininterp,LinInterp,stale,0,0.0
1,lininterp,LinInterp,isomer,62,0.484375
1,lininterp,LinInterp,noproj,0,0.0
1,lininterp,LinInterp,hard,60,0.46875
1,lininterp,LinInterp,soft,6,0.046875
1,feedavg,FeedAvg,stale,0,0.0
1,feedavg,FeedAvg,isomer,65,0.5078125
1,feedavg,FeedAvg,noproj,0,0.0
1,feedavg,FeedAvg,hard,55,0.4296875
1,feedavg,FeedAvg,soft,8,0.0625
1,stholes,STHoles,stale,0,0.0
1,stholes,STHoles,isomer,51,0.3984375
1,stholes,STHoles,noproj,0,0.0
1,stholes,STHoles,hard,69,0.5390625
1,stholes,STHoles,soft,8,0.0625
1,quicksel_h,QuickSel-H,stale,0,0.0
1,quicksel_h,QuickSel-H,isomer,82,0.640625
1,quicksel_h,QuickSel-H,noproj,0,0.0
1,quicksel_h,QuickSel-H,hard,45,0.3515625
1,quicksel_h,QuickSel-H,soft,1,0.0078125
1,lqm,LQM (learned QD),stale,0,0.0
1,lqm,LQM (learned QD),isomer,53,0.4140625
1,lqm,LQM (learned QD),noproj,0,0.0
1,lqm,LQM (learned QD),hard,68,0.53125
1,lqm,LQM (learned QD),soft,7,0.0546875
1,oasis_mlp,OASIS MLP,stale,0,0.0
1,oasis_mlp,OASIS MLP,isomer,54,0.421875
1,oasis_mlp,OASIS MLP,noproj,0,0.0
1,oasis_mlp,OASIS MLP,hard,65,0.5078125
1,oasis_mlp,OASIS MLP,soft,9,0.0703125
3,stale,Stale prior,stale,1,0.0078125
3,stale,Stale prior,isomer,119,0.9296875
3,stale,Stale prior,noproj,0,0.0
3,stale,Stale prior,hard,0,0.0
3,stale,Stale prior,soft,8,0.0625
3,lininterp,LinInterp,stale,0,0.0
3,lininterp,LinInterp,isomer,60,0.46875
3,lininterp,LinInterp,noproj,1,0.0078125
3,lininterp,LinInterp,hard,61,0.4765625
3,lininterp,LinInterp,soft,6,0.046875
3,feedavg,FeedAvg,stale,0,0.0
3,feedavg,FeedAvg,isomer,72,0.5625
3,feedavg,FeedAvg,noproj,1,0.0078125
3,feedavg,FeedAvg,hard,49,0.3828125
3,feedavg,FeedAvg,soft,6,0.046875
3,stholes,STHoles,stale,0,0.0
3,stholes,STHoles,isomer,53,0.4140625
3,stholes,STHoles,noproj,0,0.0
3,stholes,STHoles,hard,63,0.4921875
3,stholes,STHoles,soft,12,0.09375
3,quicksel_h,QuickSel-H,stale,0,0.0
3,quicksel_h,QuickSel-H,isomer,78,0.609375
3,quicksel_h,QuickSel-H,noproj,2,0.015625
3,quicksel_h,QuickSel-H,hard,43,0.3359375
3,quicksel_h,QuickSel-H,soft,5,0.0390625
3,lqm,LQM (learned QD),stale,0,0.0
3,lqm,LQM (learned QD),isomer,72,0.5625
3,lqm,LQM (learned QD),noproj,1,0.0078125
3,lqm,LQM (learned QD),hard,51,0.3984375
3,lqm,LQM (learned QD),soft,4,0.03125
3,oasis_mlp,OASIS MLP,stale,0,0.0
3,oasis_mlp,OASIS MLP,isomer,64,0.5
3,oasis_mlp,OASIS MLP,noproj,1,0.0078125
3,oasis_mlp,OASIS MLP,hard,57,0.4453125
3,oasis_mlp,OASIS MLP,soft,6,0.046875
5,stale,Stale prior,stale,0,0.0
5,stale,Stale prior,isomer,123,0.9609375
5,stale,Stale prior,noproj,0,0.0
5,stale,Stale prior,hard,0,0.0
5,stale,Stale prior,soft,5,0.0390625
5,lininterp,LinInterp,stale,0,0.0
5,lininterp,LinInterp,isomer,64,0.5
5,lininterp,LinInterp,noproj,0,0.0
5,lininterp,LinInterp,hard,61,0.4765625
5,lininterp,LinInterp,soft,3,0.0234375
5,feedavg,FeedAvg,stale,0,0.0
5,feedavg,FeedAvg,isomer,83,0.6484375
5,feedavg,FeedAvg,noproj,0,0.0
5,feedavg,FeedAvg,hard,41,0.3203125
5,feedavg,FeedAvg,soft,4,0.03125
5,stholes,STHoles,stale,0,0.0
5,stholes,STHoles,isomer,49,0.3828125
5,stholes,STHoles,noproj,0,0.0
5,stholes,STHoles,hard,72,0.5625
5,stholes,STHoles,soft,7,0.0546875
5,quicksel_h,QuickSel-H,stale,0,0.0
5,quicksel_h,QuickSel-H,isomer,80,0.625
5,quicksel_h,QuickSel-H,noproj,1,0.0078125
5,quicksel_h,QuickSel-H,hard,41,0.3203125
5,quicksel_h,QuickSel-H,soft,6,0.046875
5,lqm,LQM (learned QD),stale,0,0.0
5,lqm,LQM (learned QD),isomer,55,0.4296875
5,lqm,LQM (learned QD),noproj,1,0.0078125
5,lqm,LQM (learned QD),hard,67,0.5234375
5,lqm,LQM (learned QD),soft,5,0.0390625
5,oasis_mlp,OASIS MLP,stale,0,0.0
5,oasis_mlp,OASIS MLP,isomer,68,0.53125
5,oasis_mlp,OASIS MLP,noproj,0,0.0
5,oasis_mlp,OASIS MLP,hard,53,0.4140625
5,oasis_mlp,OASIS MLP,soft,7,0.0546875
10,stale,Stale prior,stale,0,0.0
10,stale,Stale prior,isomer,122,0.953125
10,stale,Stale prior,noproj,0,0.0
10,stale,Stale prior,hard,0,0.0
10,stale,Stale prior,soft,6,0.046875
10,lininterp,LinInterp,stale,0,0.0
10,lininterp,LinInterp,isomer,63,0.4921875
10,lininterp,LinInterp,noproj,0,0.0
10,lininterp,LinInterp,hard,59,0.4609375
10,lininterp,LinInterp,soft,6,0.046875
10,feedavg,FeedAvg,stale,0,0.0
10,feedavg,FeedAvg,isomer,81,0.6328125
10,feedavg,FeedAvg,noproj,0,0.0
10,feedavg,FeedAvg,hard,41,0.3203125
10,feedavg,FeedAvg,soft,6,0.046875
10,stholes,STHoles,stale,0,0.0
10,stholes,STHoles,isomer,41,0.3203125
10,stholes,STHoles,noproj,0,0.0
10,stholes,STHoles,hard,81,0.6328125
10,stholes,STHoles,soft,6,0.046875
10,quicksel_h,QuickSel-H,stale,0,0.0
10,quicksel_h,QuickSel-H,isomer,83,0.6484375
10,quicksel_h,QuickSel-H,noproj,0,0.0
10,quicksel_h,QuickSel-H,hard,42,0.328125
10,quicksel_h,QuickSel-H,soft,3,0.0234375
10,lqm,LQM (learned QD),stale,0,0.0
10,lqm,LQM (learned QD),isomer,63,0.4921875
10,lqm,LQM (learned QD),noproj,0,0.0
10,lqm,LQM (learned QD),hard,61,0.4765625
10,lqm,LQM (learned QD),soft,4,0.03125
10,oasis_mlp,OASIS MLP,stale,0,0.0
10,oasis_mlp,OASIS MLP,isomer,64,0.5
10,oasis_mlp,OASIS MLP,noproj,0,0.0
10,oasis_mlp,OASIS MLP,hard,60,0.46875
10,oasis_mlp,OASIS MLP,soft,4,0.03125
