q,source,label,router_choice,count,fraction
all,stale,Stale prior,stale,3,0.005859375
all,stale,Stale prior,isomer,458,0.89453125
all,stale,Stale prior,noproj,0,0.0
all,stale,Stale prior,hard,0,0.0
all,stale,Stale prior,soft,51,0.099609375
all,lininterp,LinInterp,stale,0,0.0
all,lininterp,LinInterp,isomer,197,0.384765625
all,lininterp,LinInterp,noproj,1,0.001953125
all,lininterp,LinInterp,hard,272,0.53125
all,lininterp,LinInterp,soft,42,0.08203125
all,feedavg,FeedAvg,stale,3,0.005859375
all,feedavg,FeedAvg,isomer,317,0.619140625
all,feedavg,FeedAvg,noproj,2,0.00390625
all,feedavg,FeedAvg,hard,155,0.302734375
all,feedavg,FeedAvg,soft,35,0.068359375
all,stholes,STHoles,stale,2,0.00390625
all,stholes,STHoles,isomer,175,0.341796875
all,stholes,STHoles,noproj,1,0.001953125
all,stholes,STHoles,hard,298,0.58203125
all,stholes,STHoles,soft,36,0.0703125
all,quicksel_h,QuickSel-H,stale,1,0.001953125
all,quicksel_h,QuickSel-H,isomer,335,0.654296875
all,quicksel_h,QuickSel-H,noproj,20,0.0390625
all,quicksel_h,QuickSel-H,hard,119,0.232421875
all,quicksel_h,QuickSel-H,soft,37,0.072265625
all,lqm,LQM (learned QD),stale,1,0.001953125
all,lqm,LQM (learned QD),isomer,355,0.693359375
all,lqm,LQM (learned QD),noproj,1,0.001953125
all,lqm,LQM (learned QD),hard,113,0.220703125
all,lqm,LQM (learned QD),soft,42,0.08203125
all,oasis_mlp,OASIS MLP,stale,2,0.00390625
all,oasis_mlp,OASIS MLP,isomer,357,0.697265625
all,oasis_mlp,OASIS MLP,noproj,0,0.0
all,oasis_mlp,OASIS MLP,hard,140,0.2734375
all,oasis_mlp,OASIS MLP,soft,13,0.025390625
1,stale,Stale prior,stale,1,0.0078125
1,stale,Stale prior,isomer,108,0.84375
1,stale,Stale prior,noproj,0,0.0
1,stale,Stale prior,hard,0,0.0
1,stale,Stale prior,soft,19,0.1484375
1,lininterp,LinInterp,stale,0,0.0
1,lininterp,LinInterp,isomer,44,0.34375
1,lininterp,LinInterp,noproj,0,0.0
1,lininterp,LinInterp,hard,69,0.5390625
1,lininterp,LinInterp,soft,15,0.1171875
1,feedavg,FeedAvg,stale,1,0.0078125
1,feedavg,FeedAvg,isomer,78,0.609375
1,feedavg,FeedAvg,noproj,0,0.0
1,feedavg,FeedAvg,hard,32,0.25
1,feedavg,FeedAvg,soft,17,0.1328125
1,stholes,STHoles,stale,1,0.0078125
1,stholes,STHoles,isomer,40,0.3125
1,stholes,STHoles,noproj,1,0.0078125
1,stholes,STHoles,hard,72,0.5625
1,stholes,STHoles,soft,14,0.109375
1,quicksel_h,QuickSel-H,stale,1,0.0078125
1,quicksel_h,QuickSel-H,isomer,83,0.6484375
1,quicksel_h,QuickSel-H,noproj,3,0.0234375
1,quicksel_h,QuickSel-H,hard,30,0.234375
1,quicksel_h,QuickSel-H,soft,11,0.0859375
1,lqm,LQM (learned QD),stale,1,0.0078125
1,lqm,LQM (learned QD),isomer,85,0.6640625
1,lqm,LQM (learned QD),noproj,0,0.0
1,lqm,LQM (learned QD),hard,29,0.2265625
1,lqm,LQM (learned QD),soft,13,0.1015625
1,oasis_mlp,OASIS MLP,stale,1,0.0078125
1,oasis_mlp,OASIS MLP,isomer,100,0.78125
1,oasis_mlp,OASIS MLP,noproj,0,0.0
1,oasis_mlp,OASIS MLP,hard,24,0.1875
1,oasis_mlp,OASIS MLP,soft,3,0.0234375
3,stale,Stale prior,stale,2,0.015625
3,stale,Stale prior,isomer,119,0.9296875
3,stale,Stale prior,noproj,0,0.0
3,stale,Stale prior,hard,0,0.0
3,stale,Stale prior,soft,7,0.0546875
3,lininterp,LinInterp,stale,0,0.0
3,lininterp,LinInterp,isomer,53,0.4140625
3,lininterp,LinInterp,noproj,0,0.0
3,lininterp,LinInterp,hard,69,0.5390625
3,lininterp,LinInterp,soft,6,0.046875
3,feedavg,FeedAvg,stale,2,0.015625
3,feedavg,FeedAvg,isomer,80,0.625
3,feedavg,FeedAvg,noproj,1,0.0078125
3,feedavg,FeedAvg,hard,43,0.3359375
3,feedavg,FeedAvg,soft,2,0.015625
3,stholes,STHoles,stale,1,0.0078125
3,stholes,STHoles,isomer,55,0.4296875
3,stholes,STHoles,noproj,0,0.0
3,stholes,STHoles,hard,67,0.5234375
3,stholes,STHoles,soft,5,0.0390625
3,quicksel_h,QuickSel-H,stale,0,0.0
3,quicksel_h,QuickSel-H,isomer,85,0.6640625
3,quicksel_h,QuickSel-H,noproj,10,0.078125
3,quicksel_h,QuickSel-H,hard,27,0.2109375
3,quicksel_h,QuickSel-H,soft,6,0.046875
3,lqm,LQM (learned QD),stale,0,0.0
3,lqm,LQM (learned QD),isomer,89,0.6953125
3,lqm,LQM (learned QD),noproj,1,0.0078125
3,lqm,LQM (learned QD),hard,29,0.2265625
3,lqm,LQM (learned QD),soft,9,0.0703125
3,oasis_mlp,OASIS MLP,stale,1,0.0078125
3,oasis_mlp,OASIS MLP,isomer,88,0.6875
3,oasis_mlp,OASIS MLP,noproj,0,0.0
3,oasis_mlp,OASIS MLP,hard,37,0.2890625
3,oasis_mlp,OASIS MLP,soft,2,0.015625
5,stale,Stale prior,stale,0,0.0
5,stale,Stale prior,isomer,118,0.921875
5,stale,Stale prior,noproj,0,0.0
5,stale,Stale prior,hard,0,0.0
5,stale,Stale prior,soft,10,0.078125
5,lininterp,LinInterp,stale,0,0.0
5,lininterp,LinInterp,isomer,46,0.359375
5,lininterp,LinInterp,noproj,1,0.0078125
5,lininterp,LinInterp,hard,75,0.5859375
5,lininterp,LinInterp,soft,6,0.046875
5,feedavg,FeedAvg,stale,0,0.0
5,feedavg,FeedAvg,isomer,75,0.5859375
5,feedavg,FeedAvg,noproj,0,0.0
5,feedavg,FeedAvg,hard,43,0.3359375
5,feedavg,FeedAvg,soft,10,0.078125
5,stholes,STHoles,stale,0,0.0
5,stholes,STHoles,isomer,40,0.3125
5,stholes,STHoles,noproj,0,0.0
5,stholes,STHoles,hard,84,0.65625
5,stholes,STHoles,soft,4,0.03125
5,quicksel_h,QuickSel-H,stale,0,0.0
5,quicksel_h,QuickSel-H,isomer,86,0.671875
5,quicksel_h,QuickSel-H,noproj,3,0.0234375
5,quicksel_h,QuickSel-H,hard,30,0.234375
5,quicksel_h,QuickSel-H,soft,9,0.0703125
5,lqm,LQM (learned QD),stale,0,0.0
5,lqm,LQM (learned QD),isomer,97,0.7578125
5,lqm,LQM (learned QD),noproj,0,0.0
5,lqm,LQM (learned QD),hard,24,0.1875
5,lqm,LQM (learned QD),soft,7,0.0546875
5,oasis_mlp,OASIS MLP,stale,0,0.0
5,oasis_mlp,OASIS MLP,isomer,78,0.609375
5,oasis_mlp,OASIS MLP,noproj,0,0.0
5,oasis_mlp,OASIS MLP,hard,46,0.359375
5,oasis_mlp,OASIS MLP,soft,4,0.03125
10,stale,Stale prior,stale,0,0.0
10,stale,Stale prior,isomer,113,0.8828125
10,stale,Stale prior,noproj,0,0.0
10,stale,Stale prior,hard,0,0.0
10,stale,Stale prior,soft,15,0.1171875
10,lininterp,LinInterp,stale,0,0.0
10,lininterp,LinInterp,isomer,54,0.421875
10,lininterp,LinInterp,noproj,0,0.0
10,lininterp,LinInterp,hard,59,0.4609375
10,lininterp,LinInterp,soft,15,0.1171875
10,feedavg,FeedAvg,stale,0,0.0
10,feedavg,FeedAvg,isomer,84,0.65625
10,feedavg,FeedAvg,noproj,1,0.0078125
10,feedavg,FeedAvg,hard,37,0.2890625
10,feedavg,FeedAvg,soft,6,0.046875
10,stholes,STHoles,stale,0,0.0
10,stholes,STHoles,isomer,40,0.3125
10,stholes,STHoles,noproj,0,0.0
10,stholes,STHoles,hard,75,0.5859375
10,stholes,STHoles,soft,13,0.1015625
10,quicksel_h,QuickSel-H,stale,0,0.0
10,quicksel_h,QuickSel-H,isomer,81,0.6328125
10,quicksel_h,QuickSel-H,noproj,4,0.03125
10,quicksel_h,QuickSel-H,hard,32,0.25
10,quicksel_h,QuickSel-H,soft,11,0.0859375
10,lqm,LQM (learned QD),stale,0,0.0
10,lqm,LQM (learned QD),isomer,84,0.65625
10,lqm,LQM (learned QD),noproj,0,0.0
10,lqm,LQM (learned QD),hard,31,0.2421875
10,lqm,LQM (learned QD),soft,13,0.1015625
10,oasis_mlp,OASIS MLP,stale,0,0.0
10,oasis_mlp,OASIS MLP,isomer,91,0.7109375
10,oasis_mlp,OASIS MLP,noproj,0,0.0
10,oasis_mlp,OASIS MLP,hard,33,0.2578125
10,oasis_mlp,OASIS MLP,soft,4,0.03125
