q,source,label,none_qerr,none_resid,none_qmae,hard_qerr,hard_resid,hard_qmae,router_qerr,router_resid,router_qmae,cases
1,stale,Stale prior,1.0460624597776156,0.005636764520722713,0.003836690581309787,1.0421647809924148,0.003440290878605269,0.0027328698815417625,1.0425427672096026,0.002970311973906302,0.004093887356048255,128
1,lininterp,LinInterp,1.0817741195287083,0.008839377378915802,0.007564218588464799,1.0632235604662432,0.004614526957976605,0.004529387935390099,1.0431488365290533,0.0028675435866101513,0.004219735775913261,128
1,feedavg,FeedAvg,1.1496049301705247,0.00909848369291494,0.007036654367794688,1.1001626016431392,0.004285745106570816,0.004560410370480593,1.0515815887096602,0.002890102940446173,0.004103238115981401,128
1,stholes,STHoles,1.1381695952357205,0.019532714374899864,0.019717083274711496,1.076833942486273,0.005368869190586838,0.005871679570913607,1.0399203078972485,0.002877320542236597,0.004526810731501258,128
1,quicksel_h,QuickSel-H,1.4584383514474768,0.018422368964752904,0.022202054902424356,1.2637850469949303,0.007236373474254021,0.013715892114984713,1.050832495317131,0.002954491023112693,0.004055835183969521,128
1,lqm,LQM (learned QD),1.215469308158668,0.011280649352813634,0.014157805984792719,1.1675457459987082,0.005312197314733109,0.008280381200650892,1.054090075481056,0.002844661098280892,0.0049047939326080795,128
1,oasis_mlp,OASIS MLP,1.3094971640346291,0.03795146238199034,0.04226331608431179,1.1431315834470206,0.006367900973087251,0.009052500693592582,1.0437916300659615,0.0030445137797528066,0.004058979060720962,128
3,stale,Stale prior,1.0745510717655435,0.007553036616040882,0.006977850850298421,1.0502811814848823,0.002660563556642215,0.00433025329959094,1.0499597374144907,0.0024809650421181756,0.004019955877259561,128
3,lininterp,LinInterp,1.0906406946747984,0.009127192448808944,0.008718137249858893,1.0643531055177955,0.0033004860243277603,0.005278561162832866,1.0501480010707265,0.002316778015691759,0.004155202877069876,128
3,feedavg,FeedAvg,1.1368262265150946,0.009902803258167382,0.00920146925231166,1.084550532316573,0.003068929987429286,0.005307126309818893,1.056192033206886,0.0023842934146685413,0.004051082502453308,128
3,stholes,STHoles,1.1447858153798125,0.018549038636773266,0.02017771753251736,1.0786007746722674,0.0041156880129055995,0.0069408331042453,1.0504293336895414,0.002374467501651145,0.0035888490424467153,128
3,quicksel_h,QuickSel-H,1.4300567152110362,0.017050831394734747,0.023089357349620997,1.228931524320251,0.005522209192615254,0.01381542674138117,1.065673952367242,0.002449513697701806,0.004357750750487367,128
3,lqm,LQM (learned QD),1.1894760717634116,0.009867939515753951,0.012244996065325801,1.1400490761865905,0.0036084014284505322,0.00797983817154742,1.0669037230916665,0.0022379472423902577,0.004201028365276834,128
3,oasis_mlp,OASIS MLP,1.3007751972503208,0.03533882674616449,0.041754890142068075,1.1356565301290669,0.005085296870704139,0.00965403033899392,1.0523433786499217,0.0024645541424250083,0.003962519119371014,128
5,stale,Stale prior,1.0919804393316355,0.008512868519346897,0.008112550844166457,1.0578777547937457,0.0029930530058970557,0.0035918270386815355,1.058515072785507,0.0028420900764360474,0.003869357977608893,128
5,lininterp,LinInterp,1.1074713797891542,0.010173349980785118,0.01000034306526448,1.0694521532658687,0.003469988694469491,0.004422459125754968,1.0594519172161878,0.0026822015707277376,0.0037443329927765306,128
5,feedavg,FeedAvg,1.1474312229439438,0.010277674827364813,0.010293736616855183,1.093757369534997,0.0033600734633883376,0.004689560782631528,1.06314566164022,0.0027475761843017495,0.0034699333510562016,128
5,stholes,STHoles,1.1438841751376094,0.018739434903610432,0.018869421833437715,1.0800463322616258,0.004085420149836021,0.0060029669091302895,1.0583649910623287,0.0027372320417276413,0.004016730757166038,128
5,quicksel_h,QuickSel-H,1.4343010603979647,0.015479599631854432,0.022937134462572194,1.2475083922384815,0.0060817029277995755,0.013855658033302465,1.061486663582465,0.002903797104865521,0.004112953453432825,128
5,lqm,LQM (learned QD),1.190714202513929,0.008962814179543551,0.011790263342122468,1.1498396627706238,0.003922215281748674,0.007813689738282182,1.07587950972742,0.002697308229956033,0.004845469201124607,128
5,oasis_mlp,OASIS MLP,1.3031436916580257,0.03397318212500262,0.040245507269129156,1.1380664045243478,0.004957984000932556,0.00861720750360793,1.0655895338700645,0.0028305314751144325,0.004147958240788803,128
10,stale,Stale prior,1.1261539177716609,0.012986473153584867,0.012807939354917834,1.0740764438137167,0.003486140286830047,0.006058918249650964,1.0731028375189142,0.0033977433773861657,0.006064154934488362,128
10,lininterp,LinInterp,1.1348323450523337,0.013878341761283301,0.013714388563513211,1.0858093514102378,0.003929733255004496,0.006870805064260674,1.073200341302281,0.0031487549344862346,0.005947658015674263,128
10,feedavg,FeedAvg,1.174814327540657,0.014852433067828229,0.014736139056471802,1.1023419666988945,0.0037401780581144363,0.006819476510587818,1.0781670642184797,0.0032292285444072482,0.006043944584594172,128
10,stholes,STHoles,1.157384605035061,0.017449246790116345,0.01918987978357,1.0907236178359547,0.004238981937438786,0.007512440774277297,1.0731676945852384,0.0030262774736270217,0.005987246222837059,128
10,quicksel_h,QuickSel-H,1.466199050108553,0.017374407452418562,0.023806522737940664,1.245346022727778,0.005993788317064562,0.015018119552199486,1.0886576308203777,0.0032735209220638,0.0069206066499332645,128
10,lqm,LQM (learned QD),1.221530489174415,0.011159495249908424,0.01445901615260404,1.167716878116149,0.004273904756364614,0.009964888802155568,1.0968775991284312,0.003097630530740406,0.006828931111855949,128
10,oasis_mlp,OASIS MLP,1.3566433321956703,0.03968048532648139,0.04772488625924892,1.1776135083288302,0.006128106761208324,0.01241673596593108,1.0827721790512326,0.0033625415726178613,0.006653594473016234,128
