q,source,label,router_choice,count,fraction
all,stale,Stale prior,stale,8,0.015625
all,stale,Stale prior,isomer,396,0.7734375
all,stale,Stale prior,noproj,0,0.0
all,stale,Stale prior,hard,0,0.0
all,stale,Stale prior,soft,108,0.2109375
all,lininterp,LinInterp,stale,10,0.01953125
all,lininterp,LinInterp,isomer,324,0.6328125
all,lininterp,LinInterp,noproj,1,0.001953125
all,lininterp,LinInterp,hard,145,0.283203125
all,lininterp,LinInterp,soft,32,0.0625
all,feedavg,FeedAvg,stale,9,0.017578125
all,feedavg,FeedAvg,isomer,305,0.595703125
all,feedavg,FeedAvg,noproj,2,0.00390625
all,feedavg,FeedAvg,hard,161,0.314453125
all,feedavg,FeedAvg,soft,35,0.068359375
all,stholes,STHoles,stale,7,0.013671875
all,stholes,STHoles,isomer,385,0.751953125
all,stholes,STHoles,noproj,1,0.001953125
all,stholes,STHoles,hard,97,0.189453125
all,stholes,STHoles,soft,22,0.04296875
all,quicksel_h,QuickSel-H,stale,9,0.017578125
all,quicksel_h,QuickSel-H,isomer,468,0.9140625
all,quicksel_h,QuickSel-H,noproj,1,0.001953125
all,quicksel_h,QuickSel-H,hard,30,0.05859375
all,quicksel_h,QuickSel-H,soft,4,0.0078125
all,lqm,LQM (learned QD),stale,8,0.015625
all,lqm,LQM (learned QD),isomer,370,0.72265625
all,lqm,LQM (learned QD),noproj,2,0.00390625
all,lqm,LQM (learned QD),hard,118,0.23046875
all,lqm,LQM (learned QD),soft,14,0.02734375
all,oasis_mlp,OASIS MLP,stale,11,0.021484375
all,oasis_mlp,OASIS MLP,isomer,462,0.90234375
all,oasis_mlp,OASIS MLP,noproj,0,0.0
all,oasis_mlp,OASIS MLP,hard,34,0.06640625
all,oasis_mlp,OASIS MLP,soft,5,0.009765625
1,stale,Stale prior,stale,3,0.0234375
1,stale,Stale prior,isomer,92,0.71875
1,stale,Stale prior,noproj,0,0.0
1,stale,Stale prior,hard,0,0.0
1,stale,Stale prior,soft,33,0.2578125
1,lininterp,LinInterp,stale,4,0.03125
1,lininterp,LinInterp,isomer,101,0.7890625
1,lininterp,LinInterp,noproj,0,0.0
